Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
GBR;BEL003191989;MOD;20070802;21001231;Y;C18304;FD283;TRUI VAN HINTE;FD;FLEETWOOD;Y;MFTX2;Y;TBB;NO;40.25;;474.00;474.00;;;1470.00;400.00;2;2004;10;19;MFL;;;PA;;;1989;STELLENDAM;
GBR;BEL031981998;MOD;20150911;21001231;Y;C20742;E198;MARGARET OF LADRAM;E;EXETER;Y;2EWU9;Y;TBB;NO;29.86;;264.00;264.00;;;749.00;0.00;2;2015;9;7;MFL;;;PA;;;1998;NETHERLANDS;
GBR;DEU002000300;MOD;20160817;21001231;Y;C19448;BM181;LASS O DOUNE;BM;BRIXHAM;Y;DFRA;Y;DRB;NO;23.97;;150.00;150.00;;;221.00;0.00;2;2009;2;12;MFL;;;PA;;;1998;NETHERLANDS;
GBR;DEU401160101;MOD;20161005;21001231;Y;C20130;BA4;OSPREY;BA;BALLANTRAE;Y;2FGY3;Y;DRB;NO;23.99;;164.00;164.00;;;221.00;0.00;2;2012;2;13;MFL;;;PA;;;1991;HOLLAND;
GBR;DEU401190101;MOD;20160122;20170125;Y;C19911;BM224;AMBER J;BM;BRIXHAM;Y;2EQU2;Y;TBB;NO;23.98;;159.00;159.00;;;221.00;0.00;2;2011;6;16;MFL;;;PA;;;1990;HOLLAND;
GBR;DEU401200101;MOD;20161220;21001231;Y;C19943;BM112;ETERNAL PROMISE;BM;BRIXHAM;Y;2ETK8;Y;DRB;NO;23.98;;119.62;119.62;;;221.00;0.00;2;2011;7;12;MFL;;;PA;;;2011;HOLLAND;
GBR;DEU500830113;MOD;20141028;21001231;N;C19342;B182;EX MARE GRATIA;B;BELFAST;Y;2BIM9;Y;OTB;NO;33.53;;186.00;186.00;;;383.00;0.00;2;2008;7;31;MFL;;;PA;;;1986;GBR;
GBR;DNK000001730;MOD;20160128;21001231;Y;C20273;GY451;STORMY C;GY;GRIMSBY;Y;2GEH2;Y;FPO;NO;17.06;;41.00;41.00;;;127.00;0.00;1;2013;7;11;MFL;;;PA;;;1960;DENMARK;
GBR;DNK000003624;MOD;20151007;20180201;Y;C20418;CE7;ANNETTE;CE;COLERAINE;Y;XP4371;Y;DRB;NO;16.20;;38.00;38.00;;;212.00;0.00;1;2014;5;1;MFL;;;PA;;;1982;DENMARK;
GBR;DNK000004690;MOD;20151118;21001231;Y;C19116;GY1477;NORDSTJERNEN;GY;GRIMSBY;Y;2AMZ4;Y;FPO;NO;15.60;;32.00;32.00;;;116.00;0.00;1;2007;12;11;MFL;;;PA;;;1976;DENMARK;
GBR;DNK000011532;MOD;20130416;21001231;Y;C20122;GY903;JUBILEE PRIDE;GY;GRIMSBY;Y;2FFG9;Y;GNS;NO;17.76;;47.00;47.00;;;145.00;0.00;1;2012;1;23;MFL;;;PA;;;1979;DENMARK;
GBR;DNK000011723;MOD;20160128;21001231;Y;C20666;HL200;TINGANES;HL;HARTLEPOOL;Y;2ILB9;N;OTB;NO;14.25;;24.75;24.75;;;175.00;0.00;1;2015;5;18;MFL;;;PA;;;1987;DENMARK;
GBR;DNK000013346;MOD;20130708;21001231;Y;C19875;GY450;INGER LIS;GY;GRIMSBY;Y;2ELG6;Y;FPO;NO;15.59;;30.81;30.81;;;215.00;0.00;1;2011;6;29;MFL;;;PA;;;1974;DENMARK;
GBR;DNK000032043;MOD;20141212;20180405;Y;C19434;H426;NEELTJE;H;HULL;Y;2BQS8;Y;SSC;NO;28.80;;329.00;329.00;;;650.00;0.00;2;2009;1;5;MFL;;;PA;;;2000;DEMARK;
GBR;DNK000034532;MOD;20130430;20180417;Y;C20348;N109;ACHILLES;N;NEWRY;Y;OXJO;Y;OTB;NO;21.20;;154.00;154.00;;;559.00;0.00;2;2013;4;25;MFL;;;PA;;;2004;DENMARK;
GBR;DNK000041592;MOD;20160120;21001231;Y;C20785;PD35;TRANQUILITY;PD;PETERHEAD;Y;2JCY8;Y;SSC;NO;25.56;;242.10;242.10;;;578.00;0.00;2;2016;1;15;MFL;;;PA;;;2012;DENMARK;
GBR;ESP000022179;MOD;20150505;21001231;Y;C19414;INS29;INVERDALE;INS;INVERNESS;Y;2BQJ6;Y;LLS;NO;26.30;;150.90;150.90;;;295.60;0.00;2;2008;12;17;MFL;;;PA;;;1992;SPAIN;
GBR;ESP000022939;MOD;20070312;20170117;Y;C18942;M1170;ARMAVEN UNO;M;MILFORD HAVEN;Y;MFWD;Y;OTB;NO;31.65;;268.00;268.00;;;361.00;0.00;2;2007;2;14;MFL;;;PA;;;1995;SPAIN;
GBR;ESP000023030;MOD;20100114;21001231;Y;C19630;OB113;PATRICIA MARTA;OB;OBAN;Y;2CWX4;Y;OTB;NO;32.99;;291.00;291.00;;;359.00;114.79;2;2010;1;5;MFL;;;PA;;;1995;SPAIN;
GBR;ESP000026778;MOD;20150507;20170123;Y;C20265;FD630;MAR CORAL;FD;FLEETWOOD;Y;2GDC6;Y;OTB;NO;39.10;;499.00;499.00;;;735.00;0.00;2;2013;1;3;MFL;;;PA;;;2006;SPAIN;
GBR;FRA000463234;MOD;20160419;21001231;Y;C20118;N29;SANCTA MARIA;N;NEWRY;Y;2FOV7;Y;OTB;NO;20.37;;106.00;106.00;;;316.00;0.00;2;2011;12;20;MFL;;;PA;;;1979;FRANCE;
GBR;FRA000555245;MOD;20161014;21001231;Y;C20914;M55;FRELSI;M;MILFORD HAVEN;N;;N;FPO;NO;14.89;;39.81;39.81;;;145.00;0.00;1;2016;10;5;MFL;;;PA;;;1983;FRANCE;
GBR;FRA000614948;MOD;20160510;21001231;Y;C20772;FR372;MALUKA;FR;FRASERBURGH;Y;2JCY6;Y;OTB;NO;16.30;;65.00;65.00;;;316.00;0.00;2;2016;2;1;MFL;;;PA;;;1985;FRANCE;
GBR;FRA000642414;MOD;20140110;21001231;Y;C20459;PZ110;IMOGEN III;PZ;PENZANCE;Y;2HDC2;N;OTB;NO;14.50;;39.04;39.04;;;220.00;0.00;2;2013;12;13;MFL;;;PA;;;1986;FRANCE;
GBR;FRA000721890;MOD;20160225;21001231;Y;C20757;N386;FAIRHAVENS;N;NEWRY;Y;2JCI7;Y;OTB;NO;18.24;;105.59;105.59;;;423.00;0.00;2;2015;12;15;MFL;;;PA;;;1992;FRANCE;
GBR;FRA000786287;MOD;20161025;21001231;Y;C20296;PZ498;STELISSA;PZ;PENZANCE;Y;2GFP7;Y;GTR;NO;20.60;;140.00;140.00;;;289.00;0.00;2;2013;3;11;MFL;;;PA;;;1991;FRANCE;
GBR;GBR000000J59;MOD;20131009;21001231;Y;J59;J59;ISLE JERSEY;J;JERSEY;N;;N;GNS;NO;4.62;;0.58;0.58;;;11.19;0.00;4;2010;12;20;MFL;;;PA;;;1990;GBJ;
GBR;GBR00000J109;MOD;20110315;21001231;Y;J109;J109;PETER MICHAEL;J;JERSEY;N;;N;FPO;NO;9.77;;6.29;6.29;;;175.00;0.00;4;2009;4;17;MFL;;;PA;;;2008;UK;
GBR;GBR00000J136;MOD;20110315;21001231;Y;J136;J136;IMPALA;J;JERSEY;N;;N;LLS;NO;4.30;;0.53;0.53;;;37.30;0.00;4;2009;9;9;MFL;;;PA;;;2001;SPAIN;
GBR;GBR00000M016;MOD;20070221;21001231;N;M016;CT1;SKATE;CT;CASTLETOWN;N;;N;OTB;NO;6.13;;0.20;0.20;;;26.00;0.00;4;1989;1;1;MFL;;;PA;;;1969;GBR;
GBR;GBR00000M018;MOD;20141014;21001231;Y;M018;CT76;MAUREEN PATRICIA;CT;CASTLETOWN;Y;MAQZ4;N;DRB;NO;13.97;;27.91;27.91;;;128.00;0.00;4;1989;1;1;MFL;;;PA;;;1970;GBR;
GBR;GBR00000M044;MOD;20131023;21001231;Y;M044;DO37;MARIDA;DO;DOUGLAS;Y;MLIM;Y;DRB;NO;15.36;;39.45;39.45;;;128.00;0.00;1;1989;1;1;MFL;;;PA;;;1968;GBR;
GBR;GBR00000M051;MOD;20141118;20180118;N;M051;DO4;GIRL PAT;DO;DOUGLAS;N;;N;OTB;NO;8.10;;3.82;3.82;;;158.00;0.00;3;1991;1;1;MFL;;;PA;;;1991;GBR;
GBR;GBR00000M055;MOD;20141014;21001231;Y;M055;CT5;WHISKY GALORE;CT;CASTLETOWN;N;;N;FPO;NO;9.98;;11.53;11.53;;;239.00;0.00;3;1991;1;1;MFL;;;PA;;;1991;PENRYN;
