Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
DEU;DEU000010611;MOD;20090715;21001231;Y;STA001;STA001;HEIMAT;0611;STAHLBRODE;Y;DF8769;N;GNS;FPO;11.40;10.06;10.00;10.00;9.94;;44.00;0.00;1;1953;2;7;MFL;;;;;;1952;Bootsbau Karl Freude, Anklam,;
DEU;DEU000010619;MOD;20140108;21001231;Y;HER12;HER12;SEESCHWALBE;0620;HERINGSDORF;N;;N;GNS;LLS;8.60;7.10;5.00;5.00;;;36.00;0.00;1;1978;4;3;MFL;;;;;;1978;Schiffswerft Horn, Wolgast,;
DEU;DEU000010625;MOD;20140605;21001231;Y;ZIW1;ZIW1;---;0625;ZINNOWITZ;N;;N;GNS;LLS;6.80;6.05;2.00;2.00;5.50;;18.00;0.00;1;1977;3;1;MFL;;;;;;1977;unbekannt, Unbekannt, DEU;
DEU;DEU000010633;MOD;20041104;21001231;Y;USE1;USE1;---;0633;USEDOM;N;;N;GNS;LLS;8.40;7.32;2.00;2.00;2.43;;6.00;0.00;2;1978;4;15;MFL;;;;;;1978;unbekannt, Unbekannt, DEU;
DEU;DEU000010637;MOD;20031120;21001231;Y;NEU001;NEU001;LACHS;0637;NEUENDORF H;Y;Y4TY;N;GNS;OTB;11.59;11.04;17.00;17.00;19.41;;162.00;0.00;1;1956;5;3;MFL;;;;;;1956;unbekannt, Unbekannt, DEU;
DEU;DEU000010639;MOD;20160301;21001231;Y;BRE60;BRE60;---;0613;BREEGE;N;;N;GNS;LLS;10.72;10.42;7.00;7.00;;;37.00;0.00;1;1956;11;13;MFL;;;;;;1956;unbekannt, Unbekannt, DEU;
DEU;DEU000010641;MOD;20030101;21001231;Y;DRA004;DRA004;SEESTERN;0641;DRANSKE R;N;;N;GNS;LLS;9.53;8.50;9.00;9.00;11.96;;81.00;0.00;1;1989;6;25;MFL;;;;;;1989;unbekannt, Unbekannt, DEU;
DEU;DEU000010668;MOD;20160415;21001231;Y;DRA23;DRA23;---;0641;DRANSKE R;N;;N;GNS;LLS;5.85;;1.00;1.00;;;12.00;0.00;3;2001;11;26;MFL;;;PA;;;2000;unbekannt, Unbekannt, DEU;
DEU;DEU000010671;CHA;20130211;21001231;Y;SEE14N;SEE14N;---;0671;SEEDORF;N;;N;GNS;LLS;4.52;;1.00;1.00;;;3.00;0.00;3;1999;5;3;MFL;;;PA;;;1999;unbekannt, Unbekannt, DEU;
DEU;DEU000010672;MOD;20030101;20170531;Y;KROE11;KROE11;---;0672;KROESLIN;N;;N;GNS;LLS;5.06;;1.00;1.00;;;9.00;0.00;3;2002;11;12;MFL;;;;;;2002;unbekannt, Unbekannt, DEU;
DEU;DEU000010673;MOD;20080625;21001231;Y;BAA19N;BAA19N;---;0673;BAABE;N;;N;GNS;LLS;5.06;;1.00;1.00;;;4.00;0.00;3;2005;11;3;MFL;;;;;;2005;Schlichting Boote, Dassow, DEU;
DEU;DEU000020400;CHA;20160425;21001231;Y;NG2;NG2;RHEIDERLAND;0315;DITZUM;Y;DEOG;Y;OTB;TBB;26.29;23.72;125.00;125.00;;;340.00;0.00;2;1973;2;21;MFL;;;PA;;;1973;Sieghold-Werft, Eckernf̦rde,;
DEU;DEU000020614;MOD;20070221;20171218;Y;FRE3;FRE3;MOEWE;0614;FREEST;Y;Y4VG;N;GNS;OTB;11.87;10.85;18.00;18.00;15.90;;147.00;0.00;1;1936;8;7;MFL;;;PA;;;1936;Schiffswerft Horn, Wolgast,;
