Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
FRA;FRA000110855;MOD;20151002;20170914;Y;110855;SB 110855;GIRAGLIA;SB;SAINT-BRIEUC;N;;N;OTB;DRB;9.13;;8.53;8.53;7.66;;108.00;0.00;1;1975;10;21;MFL;;;;;;1973;LE GALL|DOUARNENEZ|FRANCE;
FRA;FRA000113967;MOD;20141107;21001231;Y;113967;BR 113967;GLAZIK;BR;BREST;Y;FT3373;N;LTL;FPO;6.70;;3.27;3.27;4.11;;22.00;0.00;1;1975;9;10;MFL;;;;;;1970;||FRANCE;
FRA;FRA000114654;MOD;20061110;20170216;Y;114654;CC 114654;PENHARS;CC;CONCARNEAU;Y;FH9579;N;GNS;DRB;7.52;;0.99;0.99;3.19;;44.00;0.00;1;1982;6;20;MFL;;;;;;1972;FRANCE;
FRA;FRA000114907;MOD;20140925;21001231;Y;114907;BA 114907;SIRIUS;BA;BAYONNE;Y;FJ2557;N;GNS;GTR;9.79;;10.04;10.04;9.88;;154.00;0.00;1;1975;7;9;MFL;;;;;;1972;||FRANCE;
FRA;FRA000114913;MOD;20101224;21001231;Y;114913;MX 114913;CORALIE;MX;MORLAIX;Y;FO3494;N;GNS;FPO;7.95;;4.19;4.19;5.69;;61.00;0.00;1;1975;7;9;MFL;;;AC;20101202;;1972;||FRANCE;
FRA;FRA000114914;MOD;20050120;21001231;Y;114914;SB 114914;TROUZ AR MOR;SB;SAINT-BRIEUC;Y;FI7760;N;OTB;DRB;10.40;;10.59;10.59;9.70;;180.00;0.00;1;1975;7;10;MFL;;;;;;1973;FRANCE;
FRA;FRA000114933;MOD;20070720;20170917;Y;114933;CC 114933;MIZ MARI;CC;CONCARNEAU;N;;N;OTB;DRB;9.70;;10.92;10.92;9.51;;147.00;0.00;1;1975;7;10;MFL;;;;;;1973;FRANCE;
FRA;FRA000117753;MOD;20161116;21001231;Y;117753;PL 117753;NOS DROLES;PL;PAIMPOL;Y;FGTH;N;DRB;NO;9.00;;6.49;6.49;5.51;;113.00;0.00;1;1975;10;1;MFL;;;;;;1972;||FRANCE;
FRA;FRA000123444;MOD;20150528;20170914;Y;123444;PV 123444;ANGOA;PV;PORT VENDRES;N;;N;GNS;GTR;8.60;;5.83;5.83;5.74;;71.00;0.00;1;1975;8;13;MFL;;;;;;1971;||FRANCE;
FRA;FRA000128248;MOD;20150518;20170618;Y;128248;DP 128248;BETTINA II;DP;DIEPPE;Y;FL7690;N;GNS;GTR;9.00;;4.55;4.55;8.31;;125.00;0.00;3;1990;3;20;MFL;;;;;;1967;||FRANCE;
