Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
SWE;DEU000130630;MOD;20161017;20170301;Y;SFD2268;VY21;AXELIA;326;RONEHAMN;Y;SFD2268;N;OTM;OTB;11.89;;19.40;19.40;;;174.00;50.00;3;2015;3;12;MFL;;;PA;;;2000;Stocznia Ustka|USTKA|Poland;
SWE;DNK000001439;MOD;20160208;21001231;Y;SFD2362;LL467;GULLBRIS;662;LYSEKIL;Y;SFD2362;N;OTB;OTB;10.30;;8.75;8.75;;;81.00;0.00;1;2015;12;9;MFL;;;PA;;;1958;||Denmark;
SWE;DNK000001560;MOD;20131129;21001231;Y;SFC8575;LL15;FELICIA;606;GULLHOLMEN;Y;SFC8575;N;FPO;FPO;8.84;;4.46;4.46;;;58.00;0.00;3;2008;2;8;MFL;;;PA;;;2008;|ESBJERG|Denmark;
SWE;DNK000001700;MOD;20140521;21001231;Y;SFC9448;SD64;JOSEFINE;610;GÖTEBORG;Y;SFC9448;N;OTB;FPO;9.22;;5.29;5.29;;;140.00;0.00;2;2010;9;24;MFL;;;PA;;;1989;||Denmark;
SWE;DNK000002695;MOD;20160519;20171102;Y;SFD2285;NG6;MIA;164;OXELÖSUND;Y;SFD2285;N;OTB;GNS;11.81;;11.74;11.74;;;140.00;0.00;1;2015;5;12;MFL;;;PA;;;1964;||Denmark;
SWE;DNK000003274;MOD;20140603;21001231;Y;SFC8101;SG24;ANGELICA;361;HÖRVIK;Y;SFC8101;N;FPO;FPO;9.24;;5.04;5.04;;;63.00;0.00;3;2006;11;14;MFL;;;PA;;;1970;Faaborgsvarvet|FAABORG|Denmark;
SWE;DNK000003300;MOD;20161005;20180527;Y;SMBP;SD341;SUNDLAND II;602;GREBBESTAD;Y;SMBP;Y;OTB;OTB;18.01;;45.00;45.00;;;246.00;0.00;1;2009;6;2;MFL;;;PA;;;1969;Johs Kristensen Skibsbyggeri|HVIDE SANDE|Denmark;
SWE;DNK000004968;MOD;20151020;21001231;Y;SFC8728;LL61;DIANA;592;ELLÖS;Y;SFC8728;N;FPO;LHP;9.90;;7.15;7.15;;;40.00;0.00;1;2008;6;16;MFL;;;PA;;;1980;Hadsund Bedding & Baadebyggeri|HADSUND|Denmark;
SWE;DNK000005490;MOD;20100622;21001231;Y;SCQR;GG56;GOTTSKÄR;574;BOHUS-BJÖRKÖ;Y;SCQR;Y;OTB;OTB;20.51;;72.00;72.00;;;213.00;0.00;1;2009;1;22;MFL;;;PA;;;1967;A/S Fredrikssund|FREDRIKSSUND|Norway;
SWE;DNK000006333;MOD;20161221;20170514;N;SFC8535;SD47;AERÖ;672;NORD-KOSTER;Y;SFC8535;N;OTB;OTB;10.23;;8.80;8.80;;;98.00;0.00;1;2007;12;11;MFL;;;PA;;;1964;||Denmark;
SWE;DNK000006457;MOD;20120620;21001231;Y;SBDO;LL161;SVAN;592;ELLÖS;Y;SBDO;Y;OTB;OTB;14.86;;28.00;28.00;;;153.00;0.00;1;2008;3;4;MFL;;;PA;;;1956;|KORSÖR|Denmark;
SWE;DNK000007161;MOD;20160725;21001231;Y;SHRM;VG59;LIPTON;534;TRÄSLÖVSLÄGE;Y;SHRM;Y;OTM;OTB;27.25;;181.00;181.00;;;508.00;0.00;2;2016;2;23;MFL;;;PA;;;1984;||Denmark;
SWE;DNK000007176;IMP;20140408;20180425;Y;SFD2124;GG537;EVA;728;VRÅNGÖ;Y;SFD2124;N;OTB;FPO;9.99;;14.00;14.00;;;154.45;0.00;3;2014;4;7;MFL;DNK;;PA;;;1977;||Denmark;
SWE;DNK000007223;MOD;20081111;20170703;Y;SGUN;LL677;OCEAN;699;SMÖGEN;Y;SGUN;Y;OTB;OTB;19.06;;64.00;64.00;;;276.00;0.00;1;2008;7;22;MFL;;;PA;;;1961;Esbjerg Skeppsvarv|ESBJERG|Denmark;
SWE;DNK000007799;MOD;20161013;20170228;Y;SFD2458;KA49;KINGSTON;358;HASSLÖ;Y;SFD2458;N;OTB;NO;11.68;;13.41;13.41;;;51.48;0.00;1;2016;8;17;MFL;;;PA;;;1959;||Denmark;
SWE;DNK000008105;IMP;20140327;21001231;Y;SFD2109;VY23;WIVA;329;SLITE;Y;SFD2109;N;OTM;GNS;11.98;;12.53;12.53;;;125.00;0.00;1;2014;2;25;MFL;DNK;;PA;;;1977;Grenaa Skibsvervft A/S|GRENÅ|Denmark;
SWE;DNK000008396;MOD;20150218;21001231;Y;SDVZ;VY33;BRITTON;326;RONEHAMN;Y;SDVZ;Y;OTM;NO;21.05;;121.00;121.00;;8.00;370.00;53.69;2;2006;8;30;MFL;;;PA;;;1984;Elling&Ejsing AS|HIRTSHALS|Denmark;
SWE;DNK000008437;MOD;20111215;20170917;Y;SFAG;LL338;TERNÖ AV SMÖGEN;699;SMÖGEN;Y;SFAG;Y;OTB;GND;14.88;;21.00;21.00;;;289.00;0.00;1;2006;6;21;MFL;;;PA;;;1957;Ved H Rasmussen|ÅLBORG|Denmark;
SWE;DNK000008497;MOD;20151222;21001231;Y;SMXN;SG40;MIRACULIX;370;NOGERSUND;Y;SMXN;Y;OTM;NO;20.40;;78.00;78.00;;;405.00;17.65;1;2009;4;3;MFL;;;PA;;;1983;Hvide Sande Skibs og baadebyggeri|HVIDE SANDE|Denmark;
SWE;DNK000008642;MOD;20160725;20171015;Y;SHMI;LL1248;SAIBON AV KUNGSHAMN;650;KUNGSHAMN;Y;SHMI;Y;OTB;OTB;14.98;;19.00;19.00;;;94.88;0.00;1;2016;6;17;MFL;;;PA;;;1959;Eriksen -Marstal||Denmark;
SWE;DNK000010732;MOD;20110131;20180225;Y;SBVO;KA156;KARLSÖ;358;HASSLÖ;Y;SBVO;Y;OTB;NO;23.81;;182.00;182.00;;;443.00;160.00;2;2008;2;11;MFL;;;PA;;;1986;Thyborön Skibsvaerft|THYBORÖN|Denmark;
SWE;DNK000012527;MOD;20080722;21001231;Y;SEPJ;SD158;LUNA;602;GREBBESTAD;Y;SEPJ;Y;OTB;OTB;18.59;;56.00;56.00;;;221.00;0.00;1;2008;5;16;MFL;;;PA;;;1968;Aeroskobing skibs- og Baadebyggeri|AEROSKOBING|Denmark;
SWE;DNK000013525;MOD;20150128;21001231;Y;SFD2004;SG60;WILMA;361;HÖRVIK;Y;SFD2004;N;GNS;LHP;11.99;;12.00;12.00;;;95.00;0.00;3;2013;7;9;MFL;;;PA;;;1981;Faaborgsvarvet|FAABORG|Denmark;
SWE;DNK000013590;MOD;20130904;21001231;Y;SETO;SD578;VIKINGÖ NORD;616;HAVSTENSSUND;Y;SETO;Y;OTB;NO;19.63;;88.00;88.00;;;405.00;125.03;1;2013;7;10;MFL;;;PA;;;1955;Work & Sön|HANSTHOLM|Denmark;
SWE;DNK000013831;MOD;20120712;20171115;Y;SKUT;SG93;MARIANN AF NOGERSUND;370;NOGERSUND;Y;SKUT;Y;LHP;GNS;13.08;;19.00;19.00;;;80.00;0.00;1;2008;6;10;MFL;;;PA;;;1939;||Denmark;
SWE;DNK000014205;MOD;20161011;21001231;Y;SFC9661;GG7;NOOMI;593;FISKEBÄCK;Y;SFC9661;N;OTB;NO;11.39;;14.28;14.28;;;135.00;0.00;2;2011;9;21;MFL;;;PA;;;1984;Österby Smede og Maskinverkstad|LÄSÖ|Denmark;
SWE;DNK000033511;MOD;20140321;21001231;Y;SLRE;VG95;STJÄRNVIK;534;TRÄSLÖVSLÄGE;Y;SLRE;Y;OTB;OTM;23.45;;185.00;185.00;;;432.00;150.00;2;2010;8;18;MFL;;;PA;;;2003;Vestvarvet|HVIDE SANDE|Denmark;
SWE;FIN000000016;MOD;20070621;21001231;Y;SLMP;GE40;BÖNAN;768;BÖNAN;Y;SLMP;Y;OTB;NO;17.69;;39.00;39.00;;;200.00;14.71;2;2000;2;8;MFL;;;PA;;;1995;||Finland;
SWE;FIN000010018;MOD;20140403;21001231;Y;SFC8337;NG35;ELLIS;164;OXELÖSUND;Y;SFC8337;N;OTM;NO;11.98;;14.51;14.51;;;186.82;0.00;3;2007;7;4;MFL;;;PA;;;1985;|BORGÅ|Finland;
