Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
POL;DEU001280602;IMP;20140408;21001231;Y;PL02280;KOL-288;<NO NAME GIVEN>;0225;KOLOBRZEG;N;;Y;OTB;OTM;12.01;10.10;31.48;31.48;;;110.00;0.00;2;2001;12;18;MFL;DEU;;;;;2001;Stocznia POMERANIA, Szczecin - Poland;
POL;DEU300540207;MOD;20150916;21001231;Y;PL01995;WLA-44;<NO NAME GIVEN>;0345;WLADYSLAWOWO;Y;SPG2761;N;GNS;LLS;10.52;9.55;9.48;9.48;;;50.00;0.00;3;1983;5;20;MFL;;;;;;1983;Faaborg - Denmark;
POL;DNK000012227;MOD;20111229;20170517;Y;PL02144;JAS-79;<NO NAME GIVEN>;0338;JASTARNIA;Y;SPG3293;Y;OTB;LLS;13.25;12.28;19.77;19.77;;;121.00;0.00;1;1960;7;1;MFL;;;;;;1960;Godtfred Hansen - Denmark;
POL;DNK000012260;MOD;20110729;20170508;Y;PL02114;LEB-49;<NO NAME GIVEN>;0236;LEBA;N;;N;GNS;LLS;8.26;7.45;4.11;4.11;;;32.50;0.00;3;1987;10;15;MFL;;;;;;1977;W Dueholm Badevaerft Ap S - Kopenhaga - Denmark;
POL;DNK000013985;MOD;20130716;20170508;Y;PL02051;SWI-24;<NO NAME GIVEN>;0118;SWINOUJSCIE;Y;SPS2662;Y;OTB;GNS;13.90;12.69;23.98;23.98;;;169.00;0.00;1;1961;9;19;MFL;;;;;;1961;Soby - Denmark;
POL;NLD198200977;MOD;20130930;20170417;Y;PL02182;WLA-84;<NO NAME GIVEN>;0345;WLADYSLAWOWO;Y;SPG3578;Y;OTB;OTM;26.65;24.52;125.00;125.00;;;243.00;225.00;2;1982;6;30;MFL;;;;;;1982;Shipyard Padmons, Zuidbroek, Netherlands;
POL;POL010101686;MOD;20130325;21001231;Y;PL01686;STL-10;<NO NAME GIVEN>;0101;SZCZECIN-STOLCZYN;N;;N;FPO;GNS;7.62;6.95;1.72;1.72;;;8.50;0.00;1;1965;5;8;MFL;;;;;;1959;Warsztaty Szkutnicze LPZ, Szczecin (Lotnisko) - Poland;
POL;POL010101687;MOD;20121217;21001231;Y;PL01687;TRB-77;<NO NAME GIVEN>;0106;TRZEBIEZ;N;;N;FPO;GNS;8.20;7.27;3.09;3.09;;;20.20;0.00;1;1992;8;31;MFL;;;;;;1992;Warsztaty Spoldzielni Certa, Trzebiez - Poland;
POL;POL010101690;MOD;20150814;21001231;Y;PL01690;STL-38;<NO NAME GIVEN>;0101;SZCZECIN-STOLCZYN;N;;N;FPO;GNS;7.40;6.56;1.97;1.97;;;30.90;0.00;4;1969;4;3;MFL;;;;;;1968;Warsztaty Spoldzielni Certa, Trzebiez - Poland;
POL;POL010101693;MOD;20160209;21001231;Y;PL01693;STL-47;<NO NAME GIVEN>;0101;SZCZECIN-STOLCZYN;N;;N;FPO;GNS;7.48;6.77;1.95;1.95;;;39.70;0.00;4;1971;3;15;MFL;;;;;;1970;Warsztaty Spoldzielni Certa, Trzebiez - Poland;
POL;POL010102256;MOD;20160209;21001231;Y;PL02256;STL-8;<NO NAME GIVEN>;0101;SZCZECIN-STOLCZYN;N;;N;FPO;GNS;6.88;6.12;1.01;1.01;;;14.70;0.00;3;1967;4;19;MFL;;;;;;1967;system gospod., Stolczyn - Poland;
POL;POL010102261;CHA;20140213;20180123;Y;PL02261;STL-15;<NO NAME GIVEN>;0101;SZCZECIN-STOLCZYN;N;;N;FPO;GNS;4.90;4.63;0.80;0.80;;;7.20;0.00;3;2014;2;13;MFL;;;;;;1977;Morska Stocznia Jachtowa im. Leonida Teligi, Szczecin - Poland;
