Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
IRL;BEL010322007;IMP;20151014;21001231;Y;394;SO394;DONNA JULIE II;SO;SLIGO;Y;EIQL8;N;OTB;GND;11.50;;12.40;12.40;;;93.26;9.60;3;2007;8;20;MFL;BEL;;PA;;;2007;United Kingdom;
IRL;BEL010871987;MOD;20130809;20170710;Y;628;S628;SEAN ANTHONY;S;SKIBBEREEN;Y;EIND4;Y;TBB;NO;20.06;;68.00;68.00;;;221.00;0.00;2;1987;1;1;MFL;;;;;;1986;Netherlands;
IRL;BEL030341988;MOD;20101223;21001231;Y;34;WD34;JOHNNY K;WD;WEXFORD;Y;EI2492;Y;DRB;OTB;20.04;;68.00;68.00;;;221.00;0.00;2;1988;11;28;MFL;;;;;;1988;Belgium;
IRL;BEL030471980;MOD;20070330;21001231;Y;47;WD47;SATURNUS;WD;WEXFORD;Y;EI8999;Y;DRB;NO;27.55;;187.00;187.00;;;524.00;0.00;3;1998;10;7;MFL;;;PA;;;1980;Belgium;
IRL;BEL040031974;MOD;20110405;20170219;Y;374;D374;FLEETWOOD LADY;D;DUBLIN;Y;EI2602;Y;SSC;OTB;27.30;;183.00;183.00;;57.00;331.00;0.00;2;1974;1;1;MFL;;;;;;1974;Belgium;
IRL;DEU401220101;MOD;20141222;20180116;Y;30;WD30;MARY KATE;WD;WEXFORD;Y;EIDY9;Y;TBB;OTB;28.05;;196.00;196.00;;;221.00;0.00;2;1992;1;1;MFL;;;;;;1992;Netherlands;
IRL;DNK000003296;MOD;20140813;21001231;Y;626;S626;ANDERS NEES;S;SKIBBEREEN;Y;EINC6;Y;OTB;SDN;26.27;;215.00;215.00;;;423.00;0.00;2;1982;1;1;MFL;;;;;;1981;Denmark;
IRL;DNK000011569;MOD;20070720;21001231;Y;70;DA70;MIANDA;DA;DROGHEDA;Y;EI8697;Y;OTB;NO;25.45;;170.00;170.00;;;180.00;0.00;2;2006;1;1;MFL;;;;;;1987;Denmark;
IRL;DNK000029627;IMP;20080207;21001231;Y;74;WD74;WILLIE JOE;WD;WEXFORD;Y;EIEI3;Y;DRB;NO;23.95;;139.00;139.00;;;220.00;85.00;2;1997;6;1;MFL;DNK;;PA;;;1997;Denmark;
IRL;DNK000032067;MOD;20150407;20161114;Y;95;D95;VERONICA;D;DUBLIN;Y;EIJC3;Y;OTM;NO;55.95;;1198.00;1198.00;;;3840.00;1014.00;2;2000;1;1;MFL;;;;;;2000;Denmark;
IRL;ESP000023821;MOD;20151020;20160630;Y;418;C418;DUNBOY;C;CORK;Y;EIGS4;Y;LLS;LLD;34.50;;338.00;338.00;;;735.00;535.00;2;1998;4;1;MFL;;;;;;1998;Spain;
IRL;FIN000101242;MOD;20140805;20160823;Y;135;S135;MENHADEN;S;SKIBBEREEN;Y;EIVT;Y;PTM;OTM;41.30;;654.00;654.00;;0.00;895.00;0.00;2;1999;6;15;MFL;;;;;;1999;Denmark;
IRL;FRA000317605;MOD;20070701;21001231;Y;69;DA69;LE DOLMEN;DA;DROGHEDA;Y;EI8578;Y;OTM;NO;20.45;;97.00;97.00;;;309.00;0.00;3;1975;1;1;MFL;;;;;;1975;France;
IRL;FRA000463943;MOD;20110805;20170103;Y;3;DA3;BOY JOHN;DA;DROGHEDA;Y;EI7524;Y;OTB;NO;20.50;;120.00;120.00;;;447.00;40.00;2;1980;10;22;MFL;;;;;;1980;France;
IRL;FRA000492696;MOD;20121128;20160612;Y;434;S434;BONNE CHANCE;S;SKIBBEREEN;Y;EI6880;Y;LHP;OTM;17.04;;44.00;44.00;;;228.00;0.00;2;1982;1;30;MFL;;;;;;1980;France;
