Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
EST;EST000202119;CEN;20040501;21001231;Y;6S000219;BSA-484;BSA-484;J01;JAAMAKÜLA;N;;N;GNS;NO;5.50;5.28;0.30;0.30;;;0.00;0.00;1;1997;12;31;MFL;;;;;;1997;ESTONIA;
EST;EST000314164;CEN;20040501;21001231;Y;6M000099;BMA-198;BMA-198;N01;NARVA-JÕESUU;N;;N;GNS;FPO;8.10;7.78;2.31;2.31;;;18.39;0.00;2;1990;12;31;MFL;;;;;;1990;RUSSIAN FEDERATION;
EST;EST000403160;CEN;20040501;21001231;Y;6M000169;BMA-263;BMA-263;N05;NARVA-KULGU;N;;N;GNS;FPO;4.65;4.46;0.80;0.80;;;22.06;0.00;2;1980;12;31;MFL;;;;;;1980;RUSSIAN FEDERATION;
EST;EST000606348;CEN;20040501;20180417;Y;3M000254;SMA-299;JOHANNA;V01;VEERE;Y;ES2427;N;OTB;OTM;10.28;9.87;6.90;6.90;;;202.00;0.00;3;1993;12;31;MFL;;;;;;1993;ESTONIA;
EST;EST000825463;CHA;20141201;20171017;Y;397FA02;EK-9702;AMAZON;N02;NASVA;Y;ES2281;Y;OTM;OTB;28.30;25.50;126.00;126.00;;;423.00;0.00;2;1961;12;31;MFL;;;PA;;;1961;NORWAY;
EST;EST000825464;CEN;20040501;21001231;Y;397FL13;EK-9723;HANNA;N02;NASVA;Y;ES2356;Y;OTM;OTB;27.54;24.29;166.00;166.00;;;662.00;0.00;2;1961;12;31;MFL;;;;;;1961;NETHERLANDS;
EST;EST000912075;CEN;20040501;21001231;Y;6M000760;BMA-787;BMA-787;A02;ALAJÕE;N;;N;GNS;NO;4.65;4.46;0.74;0.74;;;18.39;0.00;3;1994;12;31;MFL;;;;;;1994;ESTONIA;
EST;EST010101014;MOD;20130117;21001231;Y;199FJ36;EK-9222;NARVIA;N01;NARVA-JÕESUU;Y;ESHB;Y;OTM;NO;23.06;22.14;117.00;117.00;;;220.00;0.00;2;1991;12;31;MFL;;;PA;;;1991;RUSSIAN FEDERATION;
EST;EST010101017;MOD;20150921;20161127;Y;198FG01;EK-9301;AIDU;N01;NARVA-JÕESUU;Y;ES2204;Y;OTM;OTB;17.56;16.86;28.65;28.65;;;110.00;0.00;2;1981;12;31;MFL;;;;;;1981;RUSSIAN FEDERATION;
EST;EST010101023;MOD;20140113;21001231;Y;3F00E05;EK-9233;KASTNA;P01;PÄRNU;Y;ES2135;Y;OTM;NO;25.42;23.06;122.00;122.00;;;221.00;0.00;2;1983;12;31;MFL;;;;;;1983;RUSSIAN FEDERATION;
