Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
NLD;BEL000041982;MOD;20150123;20160121;Y;BEL000041982;BR-9;ASTRID;BR;OOSTBURG-BRESKEN;Y;PA2442;Y;OTB;LHP;14.36;;14.00;14.00;;;83.00;0.00;2;2012;1;12;MFL;;;;;;1982;BOEKHOUTE;
NLD;BEL001191970;MOD;20060324;21001231;Y;BEL001191970;WR-27;VISAREND;WR;WIERINGEN;Y;PDPG;Y;TBB;OTT;22.55;;66.00;66.00;;;220.00;13.00;2;1992;6;30;MFL;;;;;;1970;KRUISPOLDER;
NLD;BEL001391987;MOD;20110101;21001231;Y;BEL001391987;TX-50;DENEB;TX;TEXEL;N;;N;TBB;OTM;11.10;;9.00;9.00;;;66.00;0.00;2;1997;11;10;MFL;;;;;;1987;Belgie;
NLD;BEL010821987;MOD;20110101;20170710;Y;BEL010821987;WL-18;VRIJHEID;WL;WESTDONGERADEEL;Y;PIIW;Y;TBB;NO;17.90;;40.00;40.00;;;221.00;56.00;2;1994;10;17;MFL;;;;;;1987;OOSTKAMP;
NLD;BEL011101959;MOD;20140120;20160811;Y;BEL011101959;ZK-67;DORUS;ZK;ULRUM-ZOUTKAMP;Y;PCHO;Y;TBB;NO;18.00;;34.00;34.00;;;221.00;3.00;2;1999;12;14;MFL;;;;;;1959;MAKKUM;
NLD;BEL012111971;CHA;20140319;20170928;Y;BEL012111971;HD-64;HESSEL;HD;DEN HELDER;Y;PBAY;Y;OTB;OTT;14.95;;28.00;28.00;;;194.00;37.00;2;1999;8;23;MFL;;;;;;1971;BELGIE;
NLD;BEL030381986;MOD;20131126;20160407;Y;BEL030381986;VD-6;BRIGITTA;VD;EDAM-VOLENDAM;Y;PDGY;Y;TBB;NO;24.54;;75.00;75.00;;;221.00;0.00;2;1995;7;6;MFL;;;;;;1986;RUISBROEK;
NLD;BEL032071985;MOD;20140102;20180131;Y;BEL032071985;UK-368;PETRONELLA;UK;URK;Y;PBBC;Y;TBB;NO;23.77;;78.00;78.00;;;221.00;110.00;2;2001;4;4;MFL;;;;;;1985;OOSTENDE;
NLD;BEL034301957;MOD;20141107;20170116;Y;BEL034301957;UK-94;JAN VAN CEES;UK;URK;Y;PBBF;Y;TBB;NO;19.75;;51.00;51.00;;;206.00;66.00;2;2000;2;17;MFL;;;;;;1957;LAUWERSOOG;
NLD;BEL035541964;MOD;20150908;20170904;Y;BEL035541964;OL-5;JACOB SR;OL;OOSTDONGERADEEL;Y;PCFC;Y;OTB;NO;22.25;;50.00;50.00;;;221.00;70.00;2;1998;10;9;MFL;;;;;;1964;SCHOOREDAM;
NLD;BEL040521984;MOD;20150303;21001231;Y;BEL040521984;TX-33;NOVA SPES;TX;TEXEL;Y;PBQJ;Y;TBB;GNS;23.90;;106.00;106.00;;;221.00;124.00;2;1999;9;30;MFL;;;;;;1984;Den Oever;
NLD;BEL044021963;MOD;20130828;20170813;Y;BEL044021963;LO-7;ZWERVER;LO;ULRUM-LAUWERSOOG;Y;PBBD;Y;TBB;NO;23.78;;97.00;97.00;;;221.00;85.00;2;2001;1;18;MFL;;;;;;1963;NIET BEKEND;
NLD;BEL047201963;MOD;20140612;20160425;Y;BEL047201963;UK-367;STELLA MARIS;UK;URK;Y;PA3809;Y;TBB;NO;22.00;;68.00;68.00;;;221.00;6.00;2;2013;3;29;MFL;;;;;;1963;Oostende;
NLD;DEU000060400;MOD;20160101;20160328;Y;DEU000060400;UK-5;VANTAGE;UK;URK;Y;PCMX;Y;TBB;NO;31.65;;174.00;174.00;;;736.00;60.00;2;2012;11;12;MFL;;;;;;1970;URK;
NLD;DEU000590300;MOD;20110817;21001231;Y;DEU000590300;HA-36;SCHILLH�RN;HA;HARLINGEN;Y;PHJJ;Y;DRB;NO;39.30;;257.00;257.00;;;714.00;636.00;2;1993;7;28;MFL;;;PA;;;1981;STELLENDAM;
NLD;DEU200650219;MOD;20110101;21001231;Y;DEU200650219;WL-33;WILLEM ANNE;WL;WESTDONGERADEEL;Y;PCSG;Y;TBB;OTB;20.25;;58.00;58.00;;;221.00;40.00;2;1993;4;6;MFL;;;;;;1976;HUSUM;
NLD;DEU400290107;MOD;20151221;21001231;Y;DEU400290107;IJM-31;MERON IV;IJM;VELSEN-IJMUIDEN;Y;PBNW;Y;TBB;NO;14.35;;24.00;24.00;;;221.00;45.00;3;2014;6;26;MFL;;;;;;1983;Faaborg, Denemarken;
NLD;DEU401170101;MOD;20060407;20170423;Y;DEU401170101;HD-36;VOLHARDING;HD;DEN HELDER;Y;PHBS;Y;TBB;OTB;23.97;;167.00;167.00;;;221.00;240.00;2;2004;9;28;MFL;;;;;;1991;DEN HELDER;
NLD;DEU401340101;MOD;20141028;21001231;Y;DEU401340101;YE-6;NOOR CATHARINA;YE;REIMERSWAAL-YERSEKE;Y;PCZC;Y;TBB;GNS;19.96;;69.00;69.00;;;221.00;100.00;2;2014;9;22;MFL;;;;;;2004;Welgelegen Lauwersoog;
NLD;DEU500080105;IMP;20090515;21001231;Y;DEU500080105;TX-45;PALOMA;TX;TEXEL;N;;N;OTB;NO;9.64;;6.00;6.00;;;75.00;0.00;3;2009;5;15;MFL;DEU;;;;;1978;Denemarken;
NLD;DEU500450102;MOD;20040505;20170413;Y;DEU500450102;HA-18;JANNIE;HA;HARLINGEN;N;;Y;FPO;GNS;18.06;;40.00;40.00;;;221.00;0.00;2;1991;10;30;MFL;;;;;;1946;ELSFLETH;
NLD;DEU500730110;MOD;20030101;21001231;Y;DEU500730110;YE-37;ZEELAND;YE;REIMERSWAAL-YERSEKE;Y;PI6250;N;DRB;NO;30.91;;115.00;115.00;;;360.00;0.00;2;2001;3;2;AQU;;;;;;1968;HUSUM;
NLD;DNK000005696;MOD;20120906;21001231;Y;DNK000005696;HA-19;POLARIS;HA;HARLINGEN;Y;PE9840;Y;DRH;NO;27.98;;79.00;79.00;;;251.00;190.00;2;2012;7;31;MFL;;;;;;1955;Den Oever;
NLD;DNK000010726;MOD;20120719;20170425;Y;DNK000010726;IJM-368;ALETTA;IJM;VELSEN-IJMUIDEN;Y;PD8804;Y;GNS;OTB;14.54;;22.00;22.00;;;98.00;6.00;1;2009;3;17;MFL;;;;20080718;;1955;Denemarken;
NLD;DNK000013605;MOD;20151027;21001231;Y;DNK000013605;UK-157;JAN DE WIT;UK;URK;Y;PCPH;Y;OTT;OTB;28.80;;186.00;186.00;;;634.00;1000.00;2;2013;12;10;MFL;;;;;;1987;HOOGEZAND;
NLD;DNK000014039;MOD;20080104;20160309;Y;DNK000014039;SCH-88;HENDRIK JAN;SCH;DEN HAAG-SCHEVENINGEN;N;;N;GNS;LHP;10.80;;12.00;12.00;;;96.00;0.00;3;2005;8;2;MFL;;;;;;1995;DOVERODDE, DENEMARKEN;
NLD;DNK000018558;MOD;20131011;21001231;Y;DNK000018558;UK-268;JACOBA ALIJDA;UK;URK;Y;PHJS;Y;OTT;OTB;25.92;;208.00;208.00;;;683.00;380.00;2;2007;4;6;MFL;;;;;;1979;DENEMARKEN;
NLD;DNK000019683;MOD;20120913;20171005;Y;DNK000019683;UK-128;ALBERTJE;UK;URK;N;;Y;GNS;NO;13.41;;25.00;25.00;;;143.00;0.00;3;2008;6;27;MFL;;;;;;1992;FAABORG DENEMARKEN;
NLD;FRA000544858;MOD;20141104;21001231;Y;FRA000544858;SL-9;JOHANNA;SL;GOEDEREEDE-STELLENDAM;Y;PHOE;Y;SDN;OTB;34.30;;310.00;310.00;;;500.00;660.00;2;2007;10;24;MFL;;;;;;1981;Cherbourg;
NLD;FRA000545164;MOD;20100805;21001231;Y;FRA000545164;SCH-65;SIMPLON;SCH;DEN HAAG-SCHEVENINGEN;Y;PCFG;Y;SDN;OTB;34.30;;310.00;310.00;;;500.00;660.00;2;2010;7;28;MFL;;;;;;1982;Cherbourg, Frankrijk;
NLD;GBR000A14515;MOD;20110101;20170423;Y;GBR000A14515;SCH-87;NEELTJE;SCH;DEN HAAG-SCHEVENINGEN;N;;N;OTB;GNS;9.95;;6.00;6.00;;;95.00;0.00;2;2009;10;26;MFL;;;;;;1987;ONBEKEND;
NLD;GBR000A22077;IMP;20110201;21001231;Y;GBR000A22077;KW-37;MARE;KW;KATWIJK;N;;N;GNS;OTB;6.20;;2.00;2.00;;;22.00;0.00;3;2011;2;1;MFL;GBR;;;;;1980;Ramsgate UK;
NLD;GBR000B12885;IMP;20140210;21001231;Y;GBR000B12885;TH-119;DEO VOLENTE;TH;THOLEN;Y;PBBQ;Y;TBB;NO;23.60;;86.00;86.00;;;220.00;0.00;2;2014;2;10;MFL;GBR;;;;;1983;U.K.;
NLD;GBR000C16061;IMP;20070123;20160728;Y;GBR000C16061;YE-74;PIETER;YE;REIMERSWAAL-YERSEKE;Y;PD4873;N;DRB;NO;31.53;;90.00;90.00;;;235.00;0.00;2;2007;1;23;AQU;GBR;;;;;1969;Bruinisse;
NLD;GBR000C17019;MOD;20151112;21001231;Y;GBR000C17019;IJM-22;BLACK JACK;IJM;VELSEN-IJMUIDEN;Y;PCPX;Y;TBB;OTB;14.10;;24.00;24.00;;;221.00;0.00;2;2013;9;30;MFL;;;;;;1987;ZUINKERKE BELGi�;
NLD;GBR000C18147;MOD;20150501;21001231;Y;GBR000C18147;YE-117;DEN BREE�N;YE;REIMERSWAAL-YERSEKE;N;;N;DRB;DRH;21.00;;99.00;99.00;;;587.00;625.00;2;2012;7;17;AQU;;;;;;2004;Bruinisse;
NLD;GBR000C18358;MOD;20150727;21001231;Y;GBR000C18358;TH-2;AUDACIOUS;TH;THOLEN;N;;N;GNS;LHP;6.50;;1.00;1.00;;;30.00;0.00;3;2011;4;15;MFL;;;;;;2004;engeland;
NLD;IRL000I01444;MOD;20151209;21001231;Y;IRL000I01444;YE-243;CREADAN LADY;YE;REIMERSWAAL-YERSEKE;Y;PBHV;Y;HMD;DRB;43.60;;473.00;473.00;;;940.00;500.00;2;2015;11;30;MFL;;;;;;2004;stellendam;
NLD;IRL000I11722;MOD;20060214;20170510;Y;IRL000I11722;UK-22;STELLA POLARIS;UK;URK;Y;PHSU;Y;SSC;OTB;29.80;;224.00;224.00;;;736.00;450.00;2;2005;12;15;MFL;;;;;;1986;CONCARNEAU FRANKRIJK;
NLD;IRL000I13000;MOD;20130214;21001231;Y;IRL000I13000;KW-174;ANNELIES ILENA;KW;KATWIJK;Y;PHKE;Y;OTM;NO;144.60;;14055.00;14055.00;;;14400.00;6720.00;2;2007;3;21;MFL;;;;;;2000;Umde Sterkoder A.S. Noorwegen;
NLD;NLD000000114;MOD;20100407;21001231;Y;NLD000000114;UK-35;KORNELIS;UK;URK;N;;N;GNS;OTB;9.20;;5.00;5.00;;;30.00;0.00;;2006;8;15;MFL;;;;;;;;
NLD;NLD000001107;MOD;20090622;21001231;Y;NLD000001107;IJM-6;ELISABETH;IJM;VELSEN-IJMUIDEN;N;;N;GNS;OTB;8.19;;2.00;2.00;;;89.00;0.00;;2009;5;7;MFL;;;;;;;;
NLD;NLD000002670;MOD;20120828;21001231;Y;NLD000002670;IJM-324;SYMEN;IJM;VELSEN-IJMUIDEN;N;;N;GNS;FPO;5.20;;1.00;1.00;;;7.30;0.00;3;2003;8;11;MFL;;;;;;1990;IJMUIDEN;
NLD;NLD000002672;MOD;20050408;21001231;Y;NLD000002672;TS-31;INTERNOS;TS;TERSCHELLING;Y;PC6732;Y;FPO;GNS;35.97;;122.00;122.00;;;127.00;17.50;2;2002;12;30;MFL;;;;;;1927;Nederland;
NLD;NLD000002673;MOD;20031204;21001231;Y;NLD000002673;VLL-1;WILSAM;VLL;VLIELAND;N;;N;GTN;SDN;7.54;;3.00;3.00;;;24.00;0.00;2;2002;12;30;MFL;;;;;;1850;Nederland;
NLD;NLD000002690;MOD;20110624;21001231;Y;NLD000002690;IJM-7;ELISABETH MARIA;IJM;VELSEN-IJMUIDEN;Y;PBJA;N;GNS;OTB;11.35;;12.00;12.00;;;112.00;0.00;3;2003;12;4;MFL;;;;;;2003;ENGELAND;
NLD;NLD185000249;CHA;20140527;21001231;Y;NLD185000249;SL-15;PIETA;SL;GOEDEREEDE-STELLENDAM;N;;N;FPO;GNS;6.80;;1.00;1.00;;;7.00;0.00;3;1973;11;13;MFL;;;;;;1973;Nederland;
NLD;NLD185000456;MOD;20061018;21001231;Y;NLD185000456;IJM-24;CONDOR;IJM;VELSEN-IJMUIDEN;N;;N;GNS;OTB;11.74;;5.00;5.00;;;26.00;0.00;3;1989;8;10;MFL;;;;;;1989;IJMUIDEN;
NLD;NLD185001063;MOD;20151027;20160308;Y;NLD185001063;HD-25;ENNIE EN APPIE;HD;DEN HELDER;N;;N;TBB;OTB;5.15;;2.00;2.00;;;18.00;0.00;3;1990;5;21;MFL;;;;;;1990;Nederland;
