Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
LTU;DEU000100601;MOD;20151209;20160720;Y;759;KL 759;NIDA;K;KLAIPEDA;Y;LYSA;N;OTB;NK;62.22;56.11;1943.00;1943.00;;;1764.00;1244.00;2;1987;6;26;MFL;;;;;;1987;VEB Volkswerft Stralsund DEU,;
LTU;DNK000013944;MOD;20150422;21001231;Y;886;KL 886;GILIJA;K;KLAIPEDA;Y;LYSK;N;OTM;NK;50.50;46.44;543.00;543.00;;;1400.00;1175.00;2;1973;12;31;MFL;;;;;;1973;FLEKKEFJORD, Norvegija;
LTU;DNK000014198;MOD;20071018;21001231;Y;788;KL 788;TOVÄ;K;KLAIPEDA;Y;LYSF;Y;OTM;NK;35.95;31.20;296.00;296.00;;;638.00;360.00;2;1961;12;31;MFL;;;;;;1961;BOLSONES VERFT, MOLDE, NOR Nor;
LTU;DNK000014292;IMP;20130405;20171130;Y;856;KL-856;MINGÄ;K;KLAIPEDA;Y;LYAB;Y;OTM;NK;37.15;;378.00;378.00;;;735.00;120.00;2;1967;1;1;MFL;DEU;;PA;20130303;;1967;Norvegija;
LTU;FIN000021431;IMP;20100915;20160718;Y;LT-2743;KL LT-2743;LT-2743;K;KLAIPEDA;N;;N;GNS;LLS;7.77;;2.83;2.83;;;125.00;0.00;3;2000;12;31;MFL;FIN;;;;;2000;Nykarleby FIN;
LTU;LTU000000001;MOD;20080622;21001231;Y;461;KL 461;LBB - 1032;K;KLAIPEDA;Y;LYNI;Y;OTB;OTM;25.50;;118.00;118.00;;;221.00;25.20;2;1976;9;27;MFL;;;;;;1976;Sosnovka shipyard, Sosnovka, R;
LTU;LTU000000004;MOD;20090701;21001231;Y;431;KL 431;LBB - 1044;K;KLAIPEDA;Y;LYNO;Y;OTB;OTM;25.50;;118.00;118.00;;;221.00;25.20;2;1977;6;28;MFL;;;;;;1977;"Kirovskaja" shipyard, Sosnovk;
LTU;LTU000000005;MOD;20060418;21001231;Y;412;KL 412;LBB - 1066;K;KLAIPEDA;Y;LYNP;Y;OTB;OTM;25.50;22.00;118.00;118.00;;;221.00;25.20;2;1981;10;31;MFL;;;;;;1981;Sosnovka shipyard, Sosnovka ,;
LTU;LTU000000007;MOD;20100501;21001231;Y;423;KL 423;LBB - 1094;K;KLAIPEDA;Y;LYNN;Y;OTB;OTM;25.50;22.00;117.00;117.00;;;220.00;25.20;2;1984;12;31;MFL;;;;;;1984;KIROVSKAJA Shipyard, Sosnovka,;
LTU;LTU000000008;MOD;20150301;20170928;Y;403;KL 403;LBB - 1107;K;KLAIPEDA;Y;LYKF;N;OTB;OTM;25.50;22.00;117.00;117.00;;;221.00;33.20;2;1986;12;26;MFL;;;;;;1986;"Kirovskaja", Sasnovka, Rusija;
LTU;LTU000000009;MOD;20110101;21001231;Y;405;KL 405;LBB - 1113;K;KLAIPEDA;Y;LYAN;Y;OTB;OTM;25.50;;117.00;117.00;;;220.00;29.20;2;1987;6;30;MFL;;;;;;1987;"Kirovskaja" shipyard,, Sosnov;
LTU;LTU000000010;MOD;20130905;20171231;Y;861;KL 861;BALTIK;K;KLAIPEDA;Y;LYMH;Y;OTM;OTB;23.06;;112.00;112.00;;;221.00;60.00;2;1979;12;31;MFL;;;;;;1979;Sosnovka shipyard, Sosnovka, R;
LTU;LTU000000011;MOD;20150129;21001231;Y;863;KL 863;ATLANT;K;KLAIPEDA;Y;LYMI;N;OTB;OTM;25.50;22.00;117.00;117.00;;;221.00;60.00;2;1985;8;20;MFL;;;;;;1985;Sasnovska, Rusija;
LTU;LTU000000021;CHA;20150731;20170111;Y;586;KL 586;DUX;K;KLAIPEDA;Y;LYMP;Y;OTB;NK;40.58;39.08;436.00;436.00;;;736.00;0.00;2;1963;12;31;MFL;;;PA;;;1963;SLEEPHELLING MIG, Scheveningen;
LTU;LTU000000024;MOD;20141030;20170101;N;664;KL 664;1095;K;KLAIPEDA;Y;LYNL;Y;OTB;OTM;25.50;22.00;117.00;117.00;;;221.00;32.00;2;1985;12;30;MFL;;;;;;1985;KIROVSKAJA SHIPYARD, Sosnovka Rusija;
LTU;LTU000000033;MOD;20140201;21001231;Y;185;KL 185;LBB - 1026;K;KLAIPEDA;Y;LYND;N;OTB;NK;25.50;22.00;118.00;118.00;;;221.00;22.20;2;1975;12;30;MFL;;;;;;1975;KIROVSKAJA,Sosnovka,Rusija;
LTU;LTU000000039;IMP;20120917;20160720;Y;419;KL 419;KOVAS;K;KLAIPEDA;Y;LYFO;N;OTM;NK;117.50;;5955.00;5955.00;;;5296.00;663.00;;1979;11;30;MFL;COM;;PA;;;;;
LTU;LTU000000040;CHA;20090629;20170424;Y;P-500;KL P-500;LBB-6935;K;KLAIPEDA;Y;LYLO;Y;OTB;GNS;23.98;22.15;74.00;74.00;;;166.00;22.20;2;1970;12;31;MFL;;;;;;1970;Azovo laivÅ³ statykla, Rusija;
LTU;LTU000000041;CEN;20040501;21001231;Y;577;KL 577;756;K;KLAIPEDA;Y;LYOH;Y;OTB;OTM;25.50;22.00;117.00;117.00;;;220.00;35.20;2;1989;12;31;MFL;;;;;;1989;"Kirovskaja", Sosnovka, Russia;
LTU;LTU000000043;CEN;20040501;21001231;Y;420;KL 420;DARIUS;K;KLAIPEDA;Y;LYII;Y;OTB;OTM;25.40;22.00;117.00;117.00;;;294.00;19.13;2;1994;11;22;MFL;;;;;;1993;KIROVSKAJA, Sosnovka, Russia;
LTU;LTU000000048;CEN;20040501;21001231;Y;KL 2009;KL 2009;KL 2009;K;KLAIPEDA;N;;N;GNS;LLS;4.35;;0.62;0.62;;;0.00;0.00;3;1992;12;31;MFL;;;;;;1992;Murmansk, Russia;
LTU;LTU000000050;CEN;20040501;21001231;Y;149;KL 149;100;K;KLAIPEDA;Y;LYAK;Y;GNS;OTB;26.50;;104.00;104.00;;;165.00;58.64;2;1985;12;31;MFL;;;;;;1985;Azov shipyard, Azovsk, Russia;
LTU;LTU000000057;MOD;20100101;20170319;Y;247;KL 247;169;K;KLAIPEDA;Y;LYNQ;N;OTB;OTM;25.50;22.00;120.00;120.00;;;221.00;32.00;;1982;12;31;MFL;;;;;;;;
LTU;LTU000000060;MOD;20150127;20161002;N;860;KL 860;ALFA;K;KLAIPEDA;Y;LYMR;Y;OTM;OTB;25.50;24.00;118.00;118.00;;;221.00;38.00;;1977;12;31;MFL;;;;;;;;
LTU;LTU000000067;MOD;20101211;21001231;Y;473;KL 473;LBB - 1010;K;KLAIPEDA;Y;LYMY;Y;OTB;OTM;25.45;22.00;118.00;118.00;;;221.00;38.00;2;1973;12;31;MFL;;;;;;1973;"Kirovskaja" shipyard, Sosnovk;
LTU;LTU000000069;MOD;20090101;21001231;Y;377;KL 377;694;K;KLAIPEDA;Y;LYJB;Y;OTB;OTM;25.50;;117.00;117.00;;;220.00;38.00;2;1986;12;31;MFL;;;;;;1986;"Kirovskaja" shipyard, Sosnovk;
LTU;LTU000000073;MOD;20060418;21001231;Y;476;KL 476;LBB - 6931;K;KLAIPEDA;Y;LYNV;Y;GNS;OTB;25.23;;74.00;74.00;;;132.00;27.00;2;1969;3;12;MFL;;;;;;1968;im. S. M. KIROVA, Astrakhan, R;
LTU;LTU000000075;MOD;20060418;21001231;Y;554;KL 554;104;K;KLAIPEDA;Y;LYLV;Y;GNS;OTB;26.20;24.60;77.00;77.00;;;165.00;43.00;2;1977;6;15;MFL;;;;;;1976;Shipyard im. S. M. KIROVA , As;
LTU;LTU000000076;CEN;20040501;21001231;Y;548;KL 548;103;K;KLAIPEDA;Y;LYKI;Y;GNS;NK;26.20;24.60;74.00;74.00;;;165.00;43.00;2;1979;6;20;MFL;;;;;;1978;Shipyard im. S. M. KIROV A, As;
LTU;LTU000000079;CEN;20040501;21001231;Y;366;KL 366;652;K;KLAIPEDA;Y;LYLM;Y;OTB;OTM;25.50;22.00;117.00;117.00;;;221.00;24.00;2;1984;3;12;MFL;;;;;;1983;Kirovskaja, Sosnovka, Russia;
