Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
DNK;DEU300200702;MOD;20070401;21001231;Y;AS260;AS260;SARAH;17016;NORSMINDE;Y;OU8281;Y;GNS;NO;12.02;10.19;10.40;10.40;;;118.00;0.00;3;2001;1;1;MFL;;;;;;1983;FÅBORG VÆRFT A/S, 5600 Faaborg, DANMARK;
DNK;DEU302520207;MOD;20150803;20160105;Y;FN226;FN226;ANDREA KLITBO;12002;ØSTERBY;Y;OWXZ;Y;OTB;NO;18.60;15.94;79.80;79.80;;;220.00;11.00;2;2002;1;1;MFL;;;;;;1982;SCHEEPSWERF WELGELEGEN, ZOUTKAMP, NLD Holland, NEDERLANDENE;
DNK;DEU302540207;MOD;20100715;20160427;Y;L153;L153;MALLE;23001;THYBORØN;Y;OUOT;Y;OTB;NO;39.30;;514.00;514.00;;;500.00;0.00;2;1992;1;1;MFL;;;;;;1992;N V SCHEEPSWERFT HAAK-ZAANDAM, NLD Holland, NEDERLANDENE;
DNK;DEU302640234;MOD;20110331;21001231;Y;L124;L124;PETER;23001;THYBORØN;N;;N;GNS;NO;7.28;6.56;2.90;2.90;;;42.00;0.00;3;2005;1;1;MFL;;;;;;1997;Bredgaard Værft;
DNK;DNK000000032;MOD;20150224;21001231;Y;FN168;FN168;GRÆSHOLM;12001;STRANDBY (NORDJYLLAND);Y;OU5721;N;GNS;OTB;9.95;;10.40;10.40;;;93.00;0.00;1;1968;1;1;MFL;;;;;;1968;HOU SKIBS- OG BÅDEBYGGERI, HOU, 9370 Hals, DANMARK;
DNK;DNK000000040;MOD;20030101;21001231;Y;FA50;FA50;INGRID;10016;SØNDERSKOV (ØST FOR SKÆRBÆ;Y;5PHX;N;SDN;OTB;11.89;11.65;15.70;15.70;;;81.00;0.00;1;1944;1;1;MFL;;;;;;1944;EBELTOFT SKIBSBYGGERI &, VESTERVEJ 19, 8400 Ebeltoft, DANMARK;
DNK;DNK000000134;CHA;20140110;20170516;Y;RI551;RI551;KING FISHER;20001;HVIDE SANDE;Y;XP3071;N;GNS;GNS;8.05;;2.50;2.50;;;33.00;0.00;3;1973;1;1;MFL;;;;;;1973;STARLETT PLAST, BROLÆGGERVEJ 8, 6700 Esbjerg, DANMARK;
DNK;DNK000000172;CHA;20111214;21001231;Y;KA83;KA83;VERITAS;32014;ODDEN;Y;XP3156;N;GNS;LTL;7.75;;4.00;4.00;;;16.00;0.00;3;1974;1;1;MFL;;;;;;1974;DRONNINGBORG BÅDEBYGGERI, TOLDBODGADE 81, 8900 Randers, DANMARK;
DNK;DNK000000174;MOD;20130827;21001231;Y;O40;O40;ILSE;08018;KERTEMINDE;Y;OU5901;N;GNS;OTB;7.55;;1.90;1.90;;;22.00;0.00;3;1974;1;1;MFL;;;;;;1974;EJVIND'S PLASTICJOLLER OG BÅDE-, RANTZAUSMINDE, VÆRFT, 5700 Svendborg, DANMARK;
DNK;DNK000000249;MOD;20100826;20170330;Y;A201;A201;HEIAN;25035;HVALPSUND;Y;XP3015;N;OTB;GNS;11.99;;14.60;14.60;;;121.00;0.00;1;1972;1;1;MFL;;;;;;1972;HVALPSUND SKIBS OG BÅDEBYGGERI, HVALPSUND, 9640 Farsø, DANMARK;
DNK;DNK000000251;MOD;20140402;21001231;Y;O95;O95;EMIL;08018;KERTEMINDE;Y;XP2898;N;OTB;DRB;11.98;;11.50;11.50;;;125.00;0.00;1;1970;1;1;MFL;;;;;;1970;HVALPSUND SKIBS OG BÅDEBYGGERI, HVALPSUND, 9640 Farsø, DANMARK;
DNK;DNK000000569;MOD;20070101;21001231;Y;FN20;FN20;BRITTA AAEN;12001;STRANDBY (NORDJYLLAND);Y;XP2052;Y;SDN;NO;14.57;;23.00;23.00;;;129.00;0.00;1;1928;1;1;MFL;;;;;;1928;BRDR NIPPERS SKIBSVÆRFT, 9990 Skagen, DANMARK;
DNK;DNK000000593;CHA;20080422;21001231;Y;SG26;SG26;LIANCI;09041;LUNDEBORG;Y;XP3475;N;GNS;GNS;7.98;;4.30;4.30;;;56.00;0.00;3;1976;1;1;MFL;;;;;;1976;DUEHOLM BÅDEVÆRFT APS, SKUDEHAVNSVEJ 15, 2100 København Ø, DANMARK;
DNK;DNK000000595;MOD;20080205;21001231;Y;SG23;SG23;LILJEN;09040;BAGENKOP;Y;5QDJ;N;GNS;OTB;10.07;;8.60;8.60;;;53.00;0.00;1;1950;1;1;MFL;;;;;;1950;H RASMUSSENS SKIBS & BÅDEBYGGERI, 9000 Aalborg, DANMARK;
