MS;refYears;spp;region;RFMO;area;select;landings;TAC;shareLanding;Thresh;Comments
ES;2015;Aristeomorpha foliacea;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-
ES;2015;Aristeus antennatus;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;1066;-;62%;M;-
ES;2015;Boops boops;Mediterranean and Black Sea;GFCM;1.3, 2.1, 2.2, 3.1, 3.2;-;-;-;-;-;-
ES;2015;Coryphaena equiselis;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-
ES;2015;Coryphaena hippurus;Mediterranean and Black Sea;GFCM;all areas in the Med;No;132;-;11%;O;-
ES;2015;Dicentrarchus labrax;Mediterranean and Black Sea;GFCM;all areas in the Med;No;91;-;16%;O;-
ES;2015;Eledone cirrhosa;Mediterranean and Black Sea;GFCM;1.1, 1.3, 2.1, 2.2, 3.1;-;-;-;-;-;-
ES;2015;Eledone moschata;Mediterranean and Black Sea;GFCM;1.3, 2.1, 2.2, 3.1;-;-;-;-;-;-
ES;2015;Engraulis encrasicolus;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;19241;-;27%;M;-
ES;2015;Engraulis encrasicolus;Mediterranean and Black Sea;GFCM;Black Sea GSA 29;-;-;-;-;-;-
ES;2015;Eutrigla gurnardus;Mediterranean and Black Sea;GFCM;2.2, 3.1;-;-;-;-;-;-
ES;2015;Illex spp., Todarodes spp.;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;1012;-;25%;M;-
ES;2015;Istiophoridae;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-
ES;2015;Loligo vulgaris;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;356;-;15%;M;-
ES;2015;Lophius budegassa;Mediterranean and Black Sea;GFCM;1.1, 1.2, 1.3, 2.2, 3.1;-;-;-;-;-;-
ES;2015;Lophius piscatorius;Mediterranean and Black Sea;GFCM;1.1, 1.2, 1.3, 2.2, 3.1;-;-;-;-;-;-
ES;2015;Merlangius merlangus;Mediterranean and Black Sea;GFCM;Black Sea GSA 29;-;-;-;-;-;-
ES;2015;Merluccius merluccius;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-
ES;2015;Micromesistius poutassou;Mediterranean and Black Sea;GFCM;1.1, 3.1;-;-;-;-;-;-
ES;2015;Mugilidae;Mediterranean and Black Sea;GFCM;1.3, 2.1, 2.2, 3.1;-;-;-;-;-;-
ES;2015;Mullus barbatus;Mediterranean and Black Sea;GFCM;all areas in the Med;-;-;-;-;-;-
ES;2015;Mullus barbatus;Mediterranean and Black Sea;GFCM;Black Sea GSA 29;-;-;-;-;-;-
ES;2015;Mullus surmuletus;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;588;-;15%;M;-
ES;2015;Octopus vulgaris;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;2904;-;33%;M;-
ES;2015;Nephrops norvegicus;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;563;-;20%;M;-
ES;2015;Pagellus erythrinus;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;567;-;23%;M;-
ES;2015;Parapenaeus longirostris;Mediterranean and Black Sea;GFCM;all areas in the Med;No;261;-;2%;O;-
ES;2015;Penaeus kerathurus;Mediterranean and Black Sea;GFCM;3,1;-;-;-;-;-;-
ES;2015;Psetta maxima;Mediterranean and Black Sea;GFCM;Black Sea GSA 29;-;-;-;-;-;-
ES;2015;Sardina pilchardus;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;14245;-;14%;M;-
ES;2015;Scomber spp.;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;3575;-;42%;M;-
ES;2015;Sepia officinalis;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;921;-;11%;M;-
ES;2015;Solea vulgaris;Mediterranean and Black Sea;GFCM;1.2, 2.1, 3.1;-;-;-;-;-;-
ES;2015;Sparus aurata;Mediterranean and Black Sea;GFCM;1.2, 3.1;-;-;-;-;-;-
ES;2015;Spicara smaris;Mediterranean and Black Sea;GFCM;2.1, 3.1, 3.2;-;-;-;-;-;-
ES;2015;Sprattus sprattus;Mediterranean and Black Sea;GFCM;Black Sea GSA 29;-;-;-;-;-;-
ES;2015;Squilla mantis;Mediterranean and Black Sea;GFCM;1.3, 2.1, 2.2;-;-;-;-;-;-
ES;2015;Trachurus mediterraneus;Mediterranean and Black Sea;GFCM;All areas in the Med;Yes;2887;-;83%;M;-
ES;2015;Trachurus mediterraneus;Mediterranean and Black Sea;GFCM;Black Sea GSA 29;-;-;-;-;-;-
ES;2015;Trachurus trachurus;Mediterranean and Black Sea;GFCM;all areas in the Med;Yes;2714;-;47%;M;-
ES;2015;Trachurus trachurus;Mediterranean and Black Sea;GFCM;Black Sea GSA 29;-;-;-;-;-;-
ES;2015;Trigla lucerna;Mediterranean and Black Sea;GFCM;1.3, 2.2, 3.1;-;-;-;-;-;-
ES;2015;Veneridae;Mediterranean and Black Sea;GFCM;2.1, 2.2;-;-;-;-;-;-
ES;2015;Aphia minuta;Mediterranean and Black Sea;GFCM;GSA 9,10,16 and 19;-;-;-;-;-;-
ES;2015;Atherina spp;Mediterranean and Black Sea;GFCM;GSA 9,10,16 and 19;-;-;-;-;-;-
ES;2015;Trisopterus minutus;Mediterranean and Black Sea;GFCM;All Regions;Yes;831;-;46%;M;-
