MS;refYears;spp;region;RFMO;area;select;landings;TAC;shareLanding;Thresh;Comments
ES;2013-2015;Conger conger;North Atlantic;ICES;X;No;1;-;0%;O;-
ES;2013-2015;Coryphaenoides rupestris;North Atlantic;ICES;all areas;Yes;2213;32%;75%;M;-
ES;2013-2015;Dalatias licha;North Atlantic;ICES;All areas;-;-;-;-;-;-
ES;2013-2015;Dasyatis pastinaca;North Atlantic;ICES;VII, VIII;No;-;11%;0%;O;-
ES;2013-2015;Deania calcea;North Atlantic;ICES;V, VI, VII, IX, X, XII;-;-;-;-;-;-
ES;2013-2015;Dicentrarchus labrax;North Atlantic;ICES;all areas, excluding IX;No;361;-;9%;O;-
ES;2013-2015;Dicentrarchus labrax;North Atlantic;ICES;IX;No;160;-;23%;O;-
ES;2013-2015;Dicologlossa cuneata;North Atlantic;ICES;VIIIc, IX;Yes;238;-;50%;M;-
ES;2013-2015;Engraulis encrasicolus;North Atlantic;ICES;IXa (only Cádiz);Yes;5897;48%;82%;M;-
ES;2013-2015;Engraulis encrasicolus;North Atlantic;ICES;VIII;Yes;17377;90%;83%;M;-
ES;2013-2015;Etmopterus spinax;North Atlantic;ICES;VI, VII, VIII;-;-;-;-;-;-
ES;2013-2015;Eutrigla gurnardus;North Atlantic;ICES;VIId,e;-;-;-;-;-;-
ES;2013-2015;Gadus morhua;North Atlantic;ICES;Va;-;-;-;-;-;-
ES;2013-2015;Gadus morhua;North Atlantic;ICES;Vb;-;-;-;-;-;-
ES;2013-2015;Gadus morhua;North Atlantic;ICES;VIa;-;-;-;-;-;-
ES;2013-2015;Gadus morhua;North Atlantic;ICES;VIb;-;-;-;-;-;-
ES;2013-2015;Gadus morhua;North Atlantic;ICES;VIIa;-;-;-;-;-;-
ES;2013-2015;Gadus morhua;North Atlantic;ICES;VIIe-k;-;-;-;-;-;-
ES;2013-2015;Glyptocephalus cynoglossus;North Atlantic;ICES;VI, VII;Yes;399;-;25%;M;-
ES;2013-2015;Helicolenus dactylopterus;North Atlantic;ICES;all areas;Yes;1164;-;64%;M;-
ES;2013-2015;Homarus gammarus;North Atlantic;ICES;all areas;No;11;-;1%;O;-
ES;2013-2015;Hoplostethus atlanticus;North Atlantic;ICES;all areas;-;-;-;-;-;-
ES;2013-2015;Lepidopus caudatus;North Atlantic;ICES;IXa;Yes;240;-;70%;M;-
ES;2013-2015;Lepidorhombus boscii;North Atlantic;ICES;VIIIc, IXa;No;2;92%;7%;O;-
ES;2013-2015;Lepidorhombus whiffiagonis;North Atlantic;ICES;VI;No;-;11%;0%;O;-
ES;2013-2015;Lepidorhombus whiffiagonis;North Atlantic;ICES;VII, VIIIabd;No;-;32%;0%;O;-
ES;2013-2015;Lepidorhombus whiffiagonis;North Atlantic;ICES;VIIIc, IXa;No;35;92%;31%;O;-
ES;2013-2015;Limanda limanda;North Atlantic;ICES;VIIe;-;-;-;-;-;-
ES;2013-2015;Limanda limanda;North Atlantic;ICES;VIIa,f-h;-;-;-;-;-;-
ES;2013-2015;Loligo vulgaris;North Atlantic;ICES;all areas, excluding VIIIc, IXa;No;19;-;15%;O;-
ES;2013-2015;Loligo vulgaris;North Atlantic;ICES;VIIIc, IXa;No;190;-;48%;O;-
ES;2013-2015;Lophius budegassa;North Atlantic;ICES;IV, VI;No;-;1%;0%;O;20%
ES;2013-2015;Lophius budegassa;North Atlantic;ICES;VIIb-k, VIIIabd;No;8;4%;97%;O;23%
ES;2013-2015;Lophius budegassa;North Atlantic;ICES;VIIIc, IXa;No;83;83%;32%;O;-
ES;2013-2015;Lophius piscatorius;North Atlantic;ICES;IV, VI;No;-;1%;0%;O;20%
ES;2013-2015;Lophius piscatorius;North Atlantic;ICES;VIIb-k, VIIIabd;No;-;4%;0%;O;23%
ES;2013-2015;Lophius piscatorius;North Atlantic;ICES;VIIIc, IXa;Yes;452;83%;52%;M;-
ES;2013-2015;Mallotus villosus;North Atlantic;ICES;XIV;-;-;-;-;-;-
ES;2013-2015;Melanogrammus aeglefinus;North Atlantic;ICES;Va;-;-;-;-;-;-
ES;2013-2015;Melanogrammus aeglefinus;North Atlantic;ICES;Vb;-;-;-;-;-;-
ES;2013-2015;Melanogrammus aeglefinus;North Atlantic;ICES;VIa;No;14;0%;0%;O;-
ES;2013-2015;Melanogrammus aeglefinus;North Atlantic;ICES;Vib;No;-;0%;0%;O;-
ES;2013-2015;Melanogrammus aeglefinus;North Atlantic;ICES;VIIa;-;-;-;-;-;-
ES;2013-2015;Melanogrammus aeglefinus;North Atlantic;ICES;VIIb-k;No;3;-;0%;O;-
ES;2013-2015;Merlangius merlangus;North Atlantic;ICES;VIII;No;55;40%;3%;O;-
ES;2013-2015;Merlangius merlangus;North Atlantic;ICES;IX, X;-;-;-;-;-;-
ES;2013-2015;Merlangius merlangus;North Atlantic;ICES;Vb;No;-;0%;0%;O;-
ES;2013-2015;Merlangius merlangus;North Atlantic;ICES;VIa;No;-;0%;0%;O;-
ES;2013-2015;Merlangius merlangus;North Atlantic;ICES;VIb;No;-;0%;0%;O;-
ES;2013-2015;Merlangius merlangus;North Atlantic;ICES;VIIa;-;-;-;-;-;-
ES;2013-2015;Merlangius merlangus;North Atlantic;ICES;VIIe-k;No;4;-;0%;O;-
ES;2013-2015;Merluccius merluccius;North Atlantic;ICES;IIIa, IV, VI, VII, VIIIab;Yes;22018;29%;28%;M;-
ES;2013-2015;Merluccius merluccius;North Atlantic;ICES;VIIIc, IXa;Yes;6927;64%;71%;M;-
ES;2013-2015;Microchirus variegatus;North Atlantic;ICES;all areas;No;1;-;1%;O;-
ES;2013-2015;Micromesistius poutassou;North Atlantic;ICES;I-IX, XII, XIV;Yes;20955;13%;11%;M;-
ES;2013-2015;Microstomus kitt;North Atlantic;ICES;all areas;No;54;-;2%;O;-
ES;2013-2015;Molva dypterygia;North Atlantic;ICES;all areas, excluding X;No;336;3%;15%;O;5%
ES;2013-2015;Molva macrophthalma;North Atlantic;ICES;X;-;-;-;-;-;-
ES;2013-2015;Molva molva;North Atlantic;ICES;all areas;Yes;1520;28%;22%;M;-
ES;2013-2015;Mullus surmuletus;North Atlantic;ICES;all areas;Yes;253;-;15%;M;-
ES;2013-2015;Mustelus asterias;North Atlantic;ICES;VI, VII, VIII, IX;No;23;-;70%;O;-
ES;2013-2015;Mustelus mustelus;North Atlantic;ICES;VI, VII, VIII, IX;No;20;-;6%;O;-
ES;2013-2015;Mustelus punctulatus;North Atlantic;ICES;VI, VII, VIII, IX;-;-;-;-;-;-
ES;2015;Nephrops norvegicus;North Atlantic;ICES;VI Fuctional unit 11;No;-;-;0%;O;2%
ES;2015;Nephrops norvegicus;North Atlantic;ICES;VI Fuctional unit 12;No;-;-;0%;O;2%
ES;2015;Nephrops norvegicus;North Atlantic;ICES;VI Fuctional unit 13;No;-;-;0%;O;2%
ES;2015;Nephrops norvegicus;North Atlantic;ICES;VII Functional unit 14;No;-;-;0%;O;6%
ES;2015;Nephrops norvegicus;North Atlantic;ICES;VII Functional unit 15;No;-;-;0%;O;6%
ES;2013-2015;Nephrops norvegicus;North Atlantic;ICES;VII Functional unit 16 (TAC FU16);No;84;30%;39%;O;-
ES;2015;Nephrops norvegicus;North Atlantic;ICES;VII Functional unit 17;No;-;-;0%;O;6%
ES;2013-2015;Nephrops norvegicus;North Atlantic;ICES;VII Functional unit 18 (TAC VII);No;-;6%;0%;O;6%
ES;2013-2015;Nephrops norvegicus;North Atlantic;ICES;VII Functional unit 19 (TAC VII);No;18;6%;0%;O;6%
ES;2013-2015;Nephrops norvegicus;North Atlantic;ICES;VII Functional unit 20-21 (TAC VII);No;10;6%;0%;O;6%
ES;2015;Nephrops norvegicus;North Atlantic;ICES;VII Functional unit 22;No;-;-;0%;O;6%
ES;2015;Nephrops norvegicus;North Atlantic;ICES;VIII, IX Functional unit 23, 24;No;-;-;0%;O;6%
ES;2015;Nephrops norvegicus;North Atlantic;ICES;VIII, IX Functional unit 25, 31;No;20;-;95%;O;-
ES;2015;Nephrops norvegicus;North Atlantic;ICES;VIII, IX Functional unit 26-27, 28-29, 30;No;30;-;13%;O;-
ES;2013-2015;Octopus vulgaris;North Atlantic;ICES;all areas, excluding VIIIc, IXa;No;36;-;27%;O;-
ES;2013-2015;Octopus vulgaris;North Atlantic;ICES;VIIIc, IXa;Yes;4213;-;30%;M;-
ES;2013-2015;Pagellus bogaraveo;North Atlantic;ICES;IXa, X;No;83;28%;10%;O;-
ES;2013-2015;Pandalus spp.;North Atlantic;ICES;all areas;-;-;-;-;-;-
ES;2013-2015;Parapenaeus longirostris;North Atlantic;ICES;IXa;Yes;573;-;58%;M;-
ES;2013-2015;Phycis blennoides;North Atlantic;ICES;all areas;Yes;937;35%;56%;M;-
ES;2013-2015;Phycis phycis;North Atlantic;ICES;all areas;No;151;-;22%;O;-
ES;2013-2015;Pleuronectes platessa;North Atlantic;ICES;VIIa;-;-;-;-;-;-
ES;2013-2015;Pleuronectes platessa;North Atlantic;ICES;VIIe;-;-;-;-;-;-
ES;2013-2015;Pleuronectes platessa;North Atlantic;ICES;VIIfg;-;-;-;-;-;-
ES;2013-2015;Pleuronectes platessa;North Atlantic;ICES;VIIbc;-;-;-;-;-;-
ES;2013-2015;Pleuronectes platessa;North Atlantic;ICES;VIIh-k;-;-;-;-;-;-
ES;2013-2015;Pleuronectes platessa;North Atlantic;ICES;VIII, IX, X;No;5;17%;3%;O;-
ES;2013-2015;Pollachius pollachius;North Atlantic;ICES;all areas except IX, X;Yes;228;22%;4%;M;-
ES;2013-2015;Pollachius pollachius;North Atlantic;ICES;IX, X;No;95;97%;92%;O;-
ES;2013-2015;Pollachius virens;North Atlantic;ICES;Va;-;-;-;-;-;-
ES;2013-2015;Pollachius virens;North Atlantic;ICES;Vb;-;-;-;-;-;-
ES;2013-2015;Pollachius virens;North Atlantic;ICES;IV, IIIa, VI;No;15;-;0%;O;-
ES;2013-2015;Pollachius virens;North Atlantic;ICES;VII, VIII;No;-;0%;0%;O;-
ES;2013-2015;Polyprion americanus;North Atlantic;ICES;X;No;1;-;0%;O;-
ES;2013-2015;Psetta maxima;North Atlantic;ICES;all areas;No;48;-;4%;O;-
ES;2013-2015;Reinhardtius hippoglossoides;North Atlantic;ICES;V, XIV;-;-;-;-;-;-
ES;2013-2015;Reinhardtius hippoglossoides;North Atlantic;ICES;VI;No;9;1%;5%;O;9%
ES;2013-2015;Hippoglossus hippoglossus;North Atlantic;ICES;V, XIV;-;-;-;-;-;-
ES;2013-2015;Salmo salar;North Atlantic;ICES;all areas;-;-;-;-;-;-
ES;2013-2015;Sardina pilchardus;North Atlantic;ICES;VIIIabd;Yes;14871;-;46%;M;-
ES;2013-2015;Sardina pilchardus;North Atlantic;ICES;VIIIc, IXa;Yes;11605;-;38%;M;-
ES;2013-2015;Scomber colias;North Atlantic;ICES;VIII, IX, X;-;-;-;-;-;-
ES;2013-2015;Scomber scombrus;North Atlantic;ICES;II, IIIa, IV, V, VI, VII, VIII, IX;No;28225;0%;6%;O;20%
ES;2013-2015;Scophthalmus rhombus;North Atlantic;ICES;all areas;No;16;-;2%;O;-
ES;2013-2015;Sebastes marinus;North Atlantic;ICES;ICES Sub areas V, VI, XII, XIV & NAFO SA 2 + (Div. 1F + 3K).;-;-;-;-;-;-
ES;2013-2015;Sebastes mentella;North Atlantic;ICES;ICES Sub areas V, VI, XII, XIV & NAFO SA 2 + (Div. 1F + 3K);Yes;1282;-;53%;M;-
ES;2013-2015;Sepia officinalis;North Atlantic;ICES;all areas;Yes;1448;-;13%;M;-
ES;2013-2015;Solea solea;North Atlantic;ICES;VIIa;-;-;-;-;-;-
ES;2013-2015;Solea solea;North Atlantic;ICES;VIIfg;-;-;-;-;-;-
ES;2013-2015;Solea solea;North Atlantic;ICES;VIIbc;-;-;-;-;-;-
ES;2013-2015;Solea solea;North Atlantic;ICES;VIIhjk;-;-;-;-;-;-
ES;2013-2015;Solea solea;North Atlantic;ICES;Ixa;No;139;-;23%;O;-
ES;2013-2015;Solea solea;North Atlantic;ICES;VIIIc;No;90;-;96%;O;-
ES;2013-2015;Solea solea;North Atlantic;ICES;VIIe;-;-;-;-;-;-
ES;2013-2015;Solea solea;North Atlantic;ICES;VIIIab;No;8;0%;0%;O;8%
ES;2013-2015;Sparidae;North Atlantic;ICES;all areas;No;59;-;89%;O;-
ES;2013-2015;Trachurus mediterraneus;North Atlantic;ICES;VIII, IX;Yes;213;-;28%;M;-
ES;2013-2015;Trachurus picturatus;North Atlantic;ICES;VIII, IX, X;No;77;38%;2%;O;-
ES;2013-2015;Trachurus trachurus;North Atlantic;ICES;IIa, IVa, Vb, VIa, VIIa-c, e-k, VIIIabde;Yes;1817;11%;3%;M;-
ES;2013-2015;Trachurus trachurus;North Atlantic;ICES;X;No;2;-;29%;O;-
ES;2013-2015;Trachurus trachurus;North Atlantic;ICES;VIIIc, IXa;Yes;14456;38%;41%;M;-
ES;2013-2015;Trisopterus spp.;North Atlantic;ICES;all areas;-;-;-;-;-;-
ES;2013-2015;Zeus faber;North Atlantic;ICES;all areas;Yes;546;-;17%;M;-
ES;2015;Anguilla anguilla;Mediterranean and Black Sea;GFCM;all areas in the Med;No;5;-;2%;O;-
