region;sppName;latinName;stockID;area;areaBis;TAC area description
North Sea and Eastern Arctic;European Eel;Anguilla anguilla;No TAC;I, II;27_1,27_2;
North Sea and Eastern Arctic;Tusk;Brosme brosme;USK1214EI;I, II;27_1,27_2;EC and International Waters of I, II and XIV
North Sea and Eastern Arctic;Atlanto-Scandian herring;Clupea harengus;HER1/2-;I, II;27_1,27_2;
North Sea and Eastern Arctic;Cod;Gadus morhua;COD1/2B.;I, II;27_1,27_2;I, IIb)
North Sea and Eastern Arctic;Capelin;Mallotus villosus;CAP02B.;I, II;27_1,27_2;ICES division IIb - Spitzbergen and Bear Island
North Sea and Eastern Arctic;Haddock;Melanogrammus aeglefinus;HAD1N2AB.;I, II;27_1,27_2;I, II (Norwegian waters)
North Sea and Eastern Arctic;Blue whiting;Micromesistius poutassou;WHB1X14;I, II;27_1,27_2;ICES I, II, III, IV, V, VII, VIIIabde, XII and XIV (EC and international waters)
North Sea and Eastern Arctic;Northern shrimp;Pandalus borealis;PRA2AC4-C;I, II;27_1,27_2;EC waters of IIa) and IV
North Sea and Eastern Arctic;Saithe;Pollachius virens;POK1/2INT;I, II;27_1,27_2;I, II (International waters)
North Sea and Eastern Arctic;Greenland halibut;Reinhardtius hippoglossoides;GHL1/2INT;I, II;27_1,27_2;I, II (International waters)
North Sea and Eastern Arctic;Salmon;Salmo salar;No TAC;I, II;27_1,27_2;
North Sea and Eastern Arctic;Mackerel;Scomber scombrus;MAC2A34.;II;27_2;IIa
North Sea and Eastern Arctic;Golden Redfish;Sebastes marinus;REGXXX;I, II;27_1,27_2;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures
North Sea and Eastern Arctic;Deep sea Redfish;Sebastes mentella;REBXNS;I, II;27_1,27_2;NEAFC Stock - Pelagic redfish Sub Areas I, II
North Sea and Eastern Arctic;Horse mackerel;Trachurus trachurus;JAX2A-14;IIa;27_2_A;NEAFC Stock - catches not from the stock that is subject to NEAFC management mesures
North Sea and Eastern Arctic;Sand eel;Ammodytidae;SAN2A3A4.;IIIa;27_3_A;"IIIa; EC waters of IIa and IV"
North Sea and Eastern Arctic;European Eel;Anguilla anguilla;No TAC;IIIa;27_3_A;
North Sea and Eastern Arctic;Herring;Clupea harengus;HER03A., HER03A-BC;22-24, IIIa;27_3_A,27_3_C_22,27_3_D_24;
North Sea and Eastern Arctic;Roundnose grenadier;Coryphaenoides rupestris;RNG03-;IIIa;27_3_A;EU and international waters of III
North Sea and Eastern Arctic;Grey gurnard;Eutrigla gurnardus;No TAC;IIIa;27_3_A;
North Sea and Eastern Arctic;Red gurnard;Aspitrigla cuculus;No TAC;IIIa;27_3_A;
North Sea and Eastern Arctic;Cod;Gadus morhua;COD03AN.;IIIaN;27_3_A-4_AB_NK;Skagerrak (Division IIIa)
North Sea and Eastern Arctic;Cod;Gadus morhua;COD03AS.;IIIaS;27_3_A;Kattegat (Division IIIa)
North Sea and Eastern Arctic;Witch flounder;Glyptocephalus cynoglossus;No TAC;IIIa;27_3_A;
North Sea and Eastern Arctic;Dab;Limanda limanda;No TAC;IIIa;27_3_A;
North Sea and Eastern Arctic;Haddock;Melanogrammus aeglefinus;HAD3A/BCD;IIIa;27_3_A;IIIa) and EU waters of IIIbcd
North Sea and Eastern Arctic;Whiting;Merlangius merlangus;WHG03A.;IIIa;27_3_A;
North Sea and Eastern Arctic;Hake;Merluccius merluccius;HKE3A/BCD;IIIa;27_3_A;IIIa) and EU waters of IIIbcd
North Sea and Eastern Arctic;Blue whiting;Micromesistius poutassou;WHB1X14;IIIa;27_3_A;ICES I, II, III, IV, V, VII, VIIIabde, XII and XIV (EC and international waters)
North Sea and Eastern Arctic;Norway lobster;Nephrops norvegicus;NEP3A/BCD;Functional unit 3-4;27_3_A;IIIa) and EU waters of IIIbcd
North Sea and Eastern Arctic;Northern shrimp;Pandalus borealis;PRA03A.;IIIa;27_3_A;IIIa)
North Sea and Eastern Arctic;Plaice;Pleuronectes platessa;PLE03AN.,PLE03AS.;IIIa;27_3_A;Skagerrak (Division IIIa),Kattegat (Division IIIa)
North Sea and Eastern Arctic;Saithe;Pollachius virens;2A34.;IIIa;27_3_A;EU waters of IV and in IIIa
North Sea and Eastern Arctic;Salmon;Salmo salar;No TAC;IIIa;27_3_A;
North Sea and Eastern Arctic;Turbot;Psetta maxima;No TAC;IIIa ;27_3_A;
North Sea and Eastern Arctic;Mackerel;Scomber scombrus;MAC2A34.;IIIa;27_3_A;IIIa
North Sea and Eastern Arctic;Brill;Scophthalmus rhombus;No TAC;IIIa;27_3_A;
North Sea and Eastern Arctic;Sole;Solea solea;SOL3A/BCD;IIIa;27_3_A;
North Sea and Eastern Arctic;Sprat;Sprattus sprattus;SPR03A.;IIIa;27_3_A;IIIa)
North Sea and Eastern Arctic;Norway pout;Trisopterus esmarki;NOP2A3A4.;IIIa;27_3_A;"IIIa; EU waters of IIa and IV,IIIa; EC waters of IIa and IV"
Baltic Sea;European Eel;Anguilla anguilla;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;
Baltic Sea;Herring;Clupea harengus;HER3BC+24;22-24;27_3_C_22,27_3_B_23,27_3_D_24;
Baltic Sea;Herring;Clupea harengus;HER3D-R30;25-29, 32;27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28_2,27_3_D_29,27_3_D_32;
Baltic Sea;Herring;Clupea harengus;HER3D30.;30;27_3_D_30;
Baltic Sea;Herring;Clupea harengus;HER3D31.;31;27_3_D_31;
Baltic Sea;Herring;Clupea harengus;HER03D.RG;Gulf of Riga;27_3_D_28_1;
Baltic Sea;Common Whitefish/houting;Coregonus lavaretus;No TAC;IIId;27_3_D;
Baltic Sea;Vendace;Coregonus albula;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;
Baltic Sea;Cod;Gadus morhua;COD3BC+24;22-24;27_3_C_22,27_3_B_23,27_3_D_24;IIIb),c),d) (1) - Sub Divisions 22 to 24
Baltic Sea;Cod;Gadus morhua;COD3DX32.;25-32;27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;IIId) (1) - Sub Divisions 25-32
Baltic Sea;Dab;Limanda limanda;No TAC;22-32;27_3_C_22,27_3_B_23,27_3_D_24,27_3_D_25,27_3_D_26,27_3_D_27,27_3_D_28,27_3_D_29,27_3_D_30,27_3_D_31,27_3_D_32;
