Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
PRT;ESP000015586;MOD;20160101;21001231;Y;A-3888-N;A-3888-N;NOVO VIRGEM DA BARCA;A;AVEIRO;Y;CUKB8;Y;OTB;OTM;56.20;47.99;966.00;966.00;;;1879.00;0.00;2;1988;1;1;MFL;;;PA;;;1988;NAVAL GIJON S.A. - ESPANHA;
PRT;ESP000024358;MOD;20160127;21001231;Y;AN-197-C;AN-197-C;CARLOS CUNHA;AN;ÂNCORA;Y;CUET2;Y;GNS;LLD;20.50;17.38;87.03;87.03;;;317.00;0.00;2;1999;10;29;MFL;;;PA;;;1999;ASTILLEROS ARMON - ESPANHA - ESPANHA;
PRT;ESP000024882;MOD;20120810;21001231;Y;V-1097-C;V-1097-C;NOSSA;V;VIANA DO CASTELO;Y;CUIC7;Y;LLS;LLD;26.10;22.67;210.32;210.32;;;128.70;0.00;2;2001;3;13;MFL;;;PA;;;2001;ASTILLEROS ARMON - ESPANHA - ESPANHA;
PRT;GBR000C16458;MOD;20151022;21001231;Y;V-1100-N;V-1100-N;SANTA PRINCESA;V;VIANA DO CASTELO;Y;CUNN4;Y;OTB;OTM;55.50;47.23;1691.00;1691.00;;;2425.00;0.00;2;1998;7;8;MFL;;;PA;;;1987;SOVIKNES VERFT AS - NORUEGA;
PRT;GBR000C16878;MOD;20171012;21001231;Y;O-2249-L;O-2249-L;RUMO NOVO;O;OLHÃO;N;;N;GNS;FPO;6.13;;1.70;1.70;;;37.28;0.00;3;2006;6;6;MFL;;;PA;;;1989;DESCONHECIDO - REINO UNIDO;
PRT;PRT000000024;MOD;20060101;21001231;N;A-3623-N;A-3623-N;PRAIA DE BUARCOS;A;AVEIRO;Y;CUYD;N;OTB;NO;61.73;55.60;708.00;708.00;598.97;;867.87;0.00;2;1958;1;1;MFL;;;PA;;;1958;DESCONHECIDA - PORTUGAL;
PRT;PRT000000050;MOD;20060101;21001231;N;LX-54-N;LX-54-N;PRAIA DA ERICEIRA;LX;LISBOA;Y;CUYL;N;OTB;NO;62.46;56.15;1027.00;1027.00;1138.56;;1103.23;0.00;2;1966;1;1;MFL;;;PA;;;1966;DESCONHECIDA - PORTUGAL;
PRT;PRT000000077;MOD;20060101;21001231;N;LX-78-N;LX-78-N;SANDRO CUNHA;LX;LISBOA;Y;CUZF;N;OTB;NO;36.50;33.90;324.00;324.00;288.42;;809.03;0.00;2;1980;1;1;MFL;;;PA;;;1980;DESCONHECIDA - PORTUGAL;
PRT;PRT000000087;MOD;20180101;20180108;N;A-2701-N;A-2701-N;CALVAO;A;AVEIRO;Y;CUZD;Y;OTB;OTM;61.42;56.14;1084.00;1084.00;1106.98;;1471.00;0.00;2;1977;1;1;MFL;;;PA;;;1977;DESCONHECIDO - PORTUGAL;
PRT;PRT000000092;MOD;20121017;21001231;Y;A-2318-N;A-2318-N;AVEIRENSE;A;AVEIRO;Y;CUFV;Y;OTB;OTM;80.02;72.67;1990.00;1990.00;1995.35;;2648.00;0.00;2;1974;1;1;MFL;;;PA;;;1974;DESCONHECIDA - PORTUGAL;
