Country Code;CFR;Event Code;Event Start Date;Event End Date;License Ind;Registration Nbr;Ext Marking;Vessel Name;Port Code;Port Name;IRCS Code;IRCS;Vms Code;Gear Main Code;Gear Sec Code;Loa;Lbp;Ton Ref;Ton Gt;Ton Oth;Ton Gts;Power Main;Power Aux;Hull Material;Com Year;Com Month;Com Day;Segment;Exp Country;Exp Type;Public Aid Code;Decision Date;Decision Seg Code;Construction Year;Construction Place
LVA;DEU000150400;MOD;20140314;21001231;Y;LVV1551;LVV1551;HARENGUS;VP;VENTSPILS;Y;YLBH;Y;OTB;OTM;30.71;26.25;296.00;296.00;;;700.00;120.00;2;1988;6;30;MFL;;;;;;1988;Brēmenhāfena Vācija;
LVA;DNK000006781;MOD;20140314;21001231;Y;LVR0842;LVR0842;SIRIUS;RG;RIGA;Y;YL2771;Y;OTB;OTM;33.50;;246.00;246.00;;;633.00;309.00;2;2012;5;15;MFL;;;;;;1985;Dānija;
LVA;EST090617002;MOD;20160714;21001231;Y;LVL2146;LVL2146;VIVITA;LA;LIEPAJA;Y;YL2791;Y;OTB;OTM;25.50;24.48;117.00;117.00;;;354.00;26.00;2;2012;7;27;MFL;;;;;;2001;Krievija;
LVA;GBR000B10280;IMP;20151218;21001231;Y;VP108;VP108;SILVA;VP;VENTSPILS;N;;N;GNS;NK;11.20;;15.12;15.12;;;125.00;0.00;2;2015;12;18;MFL;GBR;;PA;;;1989;Lielbritānija;
LVA;GBR000B11108;MOD;20140502;21001231;Y;LVV1555;LVV1555;GLENROSE;VP;VENTSPILS;Y;YL2694;Y;OTM;OTB;38.50;;554.00;554.00;;;1268.00;158.00;2;1990;8;3;MFL;;;;;;1990;Lielbritānija;
LVA;LTU000000047;MOD;20160714;21001231;Y;LVL2148;LVL2148;ILONA;LA;LIEPAJA;Y;YL2830;Y;OTB;OTM;25.50;;117.00;117.00;;;220.00;30.00;2;2013;10;1;MFL;;;;;;1990;"Kirovskaja" shipyard, Sosnovka, PSRS;
LVA;LVA000000002;MOD;20140314;21001231;Y;LVR0798;LVR0798;AKO;RG;RIGA;Y;YL2256;Y;OTM;NO;25.45;22.00;112.00;112.00;;;368.00;42.00;2;1992;12;31;MFL;;;;;;1992;Sosnovka Krievija;
LVA;LVA000000007;MOD;20140314;21001231;Y;LVV1507;LVV1507;BANDAVA;VP;VENTSPILS;Y;YL2055;Y;OTM;NO;25.45;22.00;112.00;112.00;;;220.00;19.00;2;1981;12;31;MFL;;;;;;1981;Sosnovka PSRS;
LVA;LVA000000010;MOD;20100107;21001231;Y;LVR0830;LVR0830;BUBIS;RG;RIGA;Y;YL2403;Y;OTM;NO;17.80;15.50;41.00;41.00;;;217.00;0.00;2;1987;12;31;MFL;;;;;;1987;Somija;
LVA;LVA000000015;MOD;20161227;21001231;Y;LVR0797;LVR0797;AUDA;RG;RIGA;Y;YL2257;Y;OTM;NO;25.45;22.00;112.00;112.00;;;330.00;26.00;2;1992;12;31;MFL;;;;;;1992;Sosnovka PSRS;
